P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
-76.14,209.43,248.19,160.01,73.32,36.35,5.89,-10.59,-24.12,-30.76,-27.73,-40.67,-44.65,-44.89,-38.92,-33.68,-28.2,-23.06,-17.12,-8.81,-5.04,-2.7,1.26,1.64,22.37,-74.66,-508.61,-476.09,-345.06,-183.65,-156.39,-133.87,-116.27,-103.46,-92.47,-82.99,-74.77,-67.99,-60.16,-53.21,-46.54,-39.48,-31.79,-23.9,-15.48,-6.05,3.17,12.25,22.37
-57.71,211.69,241.78,147.71,59.31,24.12,-3.78,-22.53,-33.44,-40.69,-36.22,-47.68,-50.82,-51.48,-45.33,-39.54,-34.46,-27.31,-21.26,-13.26,-9.83,-7.48,-3.97,-3.49,24.95,-56.64,-501.34,-401.85,-303.58,-174.73,-146.44,-124.46,-108.4,-96.67,-86.58,-77.96,-70.36,-64.12,-56.88,-50.26,-43.86,-37.16,-29.63,-21.9,-13.58,-4.07,5.33,14.51,24.95
3.09,212.59,226.82,132.27,46.24,13.09,-10.46,-31.35,-40.08,-47.42,-41.01,-52.49,-54.62,-55.52,-48.5,-42.14,-37.08,-28.95,-23.29,-15.59,-13.18,-10.7,-7.75,-7.57,26.15,4.22,-485.62,-327.71,-234.21,-177.34,-144.38,-115.59,-97.44,-84.56,-75.34,-68.76,-62.82,-57.1,-51.06,-45.23,-39.55,-33.3,-26.27,-18.88,-10.91,-1.72,7.56,16.69,26.15
41.98,212.03,215.08,118.1,31.13,1.33,-20.01,-40.46,-47.53,-54.36,-47.53,-58.78,-60.5,-60.15,-51.88,-45,-40.35,-31.94,-26.06,-18.7,-16.68,-14.89,-12.04,-11.32,25.26,41.88,-407.44,-288.8,-208.24,-156.32,-127.75,-109.11,-96.07,-85.98,-77.25,-69.52,-60.16,-52.39,-45.66,-40.44,-35.7,-30.24,-24.09,-17.11,-9.5,-0.7,8.33,17.45,25.26
89.8,208.22,202.62,103.6,21.73,-8.18,-29.04,-47.7,-52.52,-59.97,-53.94,-62.89,-64.06,-62.69,-54.47,-47.11,-41.67,-32.74,-26.57,-21.14,-19.72,-17.93,-16.26,0.28,25.31,89.74,-331.11,-251.4,-183.99,-140.07,-115.04,-98.14,-86.78,-77.83,-70.18,-63.96,-58.26,-54.02,-48.54,-44.05,-39.04,-33.07,-25.34,-16.93,-7.48,2.28,11.33,19.91,25.31
133.47,208.66,190.86,88.6,10.7,-20.15,-38.94,-56.91,-59.85,-66.92,-60.38,-68.26,-68.76,-66.96,-57.77,-50.47,-44.55,-35.48,-30.25,-24.5,-24.48,-21.21,-20.57,14.25,25.39,132.53,-265.05,-218.3,-163.67,-127.02,-105.53,-90.99,-80.55,-72.46,-65.55,-59.8,-54.44,-50.33,-44.97,-40.62,-36.14,-31.6,-26.84,-22.39,-17.66,-10.05,4.1,19.71,25.39
174.23,203.07,174.57,70.69,-3.69,-32.81,-51.54,-66.01,-68.78,-74.41,-67.3,-73.54,-74.68,-71.3,-61.69,-54.02,-47.84,-38.77,-35.07,-29.34,-29.92,-27.1,-23.08,29.29,25.81,172.47,-194.72,-178.87,-141.78,-111.97,-93.85,-82.47,-72.96,-66.02,-60,-54.82,-50.13,-46.51,-41.41,-37.39,-33.04,-28.61,-23.9,-19.56,-15.39,-10.35,-2.3,14.38,25.81
175.96,205.34,176.65,70.4,-3.38,-33.45,-51.47,-66.2,-69.41,-75.09,-67.91,-73.99,-74.77,-71.52,-61.52,-54.52,-48.04,-38.84,-35,-29.29,-29.82,-26.93,-23.15,28.98,25.81,172.97,-195.49,-180.05,-142.2,-112.78,-94.4,-82.61,-73.37,-66.38,-60.32,-55.11,-50.26,-46.58,-41.65,-37.54,-33.19,-28.76,-24.01,-19.49,-15.46,-10.41,-2.21,14.33,25.81
206.47,194.7,156.81,52.87,-17.75,-45.25,-60.85,-74.08,-77.05,-80.26,-73.3,-78.89,-78.21,-75.34,-64.66,-56.98,-50.16,-41.85,-38.35,-33.7,-33.93,-33.39,-4.64,33.9,26.75,205.87,-124.79,-140.44,-116.49,-96.41,-82.04,-72.27,-63.94,-58.12,-53.09,-48.57,-44.37,-41.44,-36.76,-33,-28.85,-24.63,-19.9,-15.27,-11.2,-6.82,-2.82,3.21,26.75
235.86,186.74,139.88,35.07,-32.75,-59.94,-72.72,-83.87,-85.79,-87.42,-80.17,-86.28,-83.78,-79.92,-68.82,-60.49,-53.93,-45.6,-42.84,-38.85,-38.47,-38.64,8.7,38.33,26.7,235.58,-64.98,-106.88,-94.4,-82.18,-70.92,-63.69,-56.32,-51.44,-47.31,-43.36,-39.69,-37.04,-33,-29.53,-25.61,-21.49,-16.76,-11.96,-7.74,-3.29,-0.13,2.52,26.7
