Alpha [deg]	Cl	Cd
-5	-0.284388971	0.093173615
-4.5	-0.235828048	0.082927017
-4	-0.184096925	0.071450413
-3.5	-0.143111343	0.062142478
-3	-0.115557821	0.05478718
-5	-0.288728207	0.09426487
-4.5	-0.232988803	0.081936247
-4	-0.185512887	0.072072909
-3.5	-0.142238109	0.061943223
-3	-0.110795699	0.053237571
-2.5	-0.082342011	0.045224713
-2	-0.042268368	0.036014301
-2	-0.042529275	0.036220878
-1.5	-0.003561353	0.028161661
-1	0.039937122	0.020946131
-0.5	0.082356929	0.014330579
0	0.139099046	0.008301835
0.5	0.209110871	0.002632445
1	0.267642514	-0.001499183
1.5	0.313971935	-0.005371159
2	0.359455849	-0.008248897
2.5	0.400970388	-0.010478069
3	0.437873489	-0.012137608
3.5	0.486061434	-0.012846259
4	0.535295883	-0.013308417
4.5	0.589122511	-0.012826496
5	0.627163186	-0.011405097
5.5	0.672185374	-0.009681682
6	0.715079062	-0.007332293
6.5	0.75772894	-0.004464043
7	0.802933217	-0.000680811
7.5	0.838098422	0.003671128
8	0.877866963	0.00857157
8.5	0.916463292	0.01418518
9	0.954778694	0.020226527
9.5	0.985671798	0.02674866
10	0.997093216	0.029711059
10.1	0.993050906	0.031079717
10.2	1.010688573	0.03328366
10.3	1.012362473	0.035230169
10.4	0.997422473	0.037034066
10.5	0.989487427	0.038333157
10.6	1.001218205	0.040713969
10.7	1.007856772	0.042484809
10.8	1.015102824	0.043978551
10.9	1.013688653	0.044693107
11	1.013900212	0.044035977
11.1	1.019903527	0.044719347
11.2	1.025646549	0.044530207
11.3	1.038195609	0.045615977
11.4	1.042240284	0.046081389
12	1.028753862	0.049101637
12.5	0.986415384	0.050117348
13	0.971345439	0.056608111
13.5	0.936822756	0.064850056
14	0.90820911	0.076128418
14.5	0.993857172	0.178624417
14.5	0.977486811	0.180295888
14	0.899021839	0.075849595
13.5	0.947027335	0.065813502
15	0.923244685	0.194698992
15.5	0.83480636	0.193796652
16	0.780923628	0.192168444
15.5	0.846338655	0.197585314
15	0.927578179	0.195275231
14.5	1.007790913	0.181781728
14	0.906218982	0.07654447
13.5	0.933354069	0.064832951
13	0.969131032	0.056382622
12	1.043625164	0.048823656
11.5	1.0315688	0.046072658
10.5	0.999163766	0.038705902
10	1.008354201	0.029748413
