C-Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	     hPa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       6	 15:36:17	  -5.000	  129.70	 1014.01	   22.61	  869.81	   1.194	  -76.14	  209.43	  248.19	  160.01	   73.32	   36.35	    5.89	  -10.59	  -24.12	  -30.76	  -27.73	  -40.67	  -44.65	  -44.89	  -38.92	  -33.68	  -28.20	  -23.06	  -17.12	   -8.81	   -5.04	   -2.70	    1.26	    1.64	   22.37	  -74.66	 -508.61	 -476.09	 -345.06	 -183.65	 -156.39	 -133.87	 -116.27	 -103.46	  -92.47	  -82.99	  -74.77	  -67.99	  -60.16	  -53.21	  -46.54	  -39.48	  -31.79	  -23.90	  -15.48	   -6.05	    3.17	   12.25	   22.37	  273.86	  273.92	  274.56	  273.36	  273.25	  273.09	  273.58	  273.85	  273.24	  273.22	  273.88	  272.87	  273.65	  273.20	  274.00	  273.65	  272.53	  272.25	  274.54	  275.14	  272.14	  264.00	  247.65	  224.12	  212.02	  221.35	  242.25	  261.01	  270.43	  273.38	  272.61	  274.57	  275.10	  271.85	  274.60	  275.09	  275.15	  274.42	  274.12	  274.66	  273.39	  274.77	  273.60	  272.74	  273.41	  274.78	  274.62	  275.26	   14.47	   12.62	   13.67	   13.47	   14.08	   12.94	   14.75	   15.46	   15.20	   15.13	   15.28	   11.76	    2.29	    0.07	    0.05	   -0.30
       7	 15:36:34	  -4.500	  131.84	 1014.03	   22.62	  870.31	   1.194	  -57.71	  211.69	  241.78	  147.71	   59.31	   24.12	   -3.78	  -22.53	  -33.44	  -40.69	  -36.22	  -47.68	  -50.82	  -51.48	  -45.33	  -39.54	  -34.46	  -27.31	  -21.26	  -13.26	   -9.83	   -7.48	   -3.97	   -3.49	   24.95	  -56.64	 -501.34	 -401.85	 -303.58	 -174.73	 -146.44	 -124.46	 -108.40	  -96.67	  -86.58	  -77.96	  -70.36	  -64.12	  -56.88	  -50.26	  -43.86	  -37.16	  -29.63	  -21.90	  -13.58	   -4.07	    5.33	   14.51	   24.95	  275.70	  275.65	  276.10	  275.13	  275.32	  274.97	  275.17	  275.59	  275.04	  275.44	  275.64	  274.53	  275.06	  274.86	  275.64	  275.40	  274.30	  273.96	  276.23	  277.03	  273.45	  263.65	  246.93	  225.83	  221.88	  238.79	  257.92	  269.93	  274.47	  275.45	  274.33	  276.29	  278.11	  273.96	  277.84	  278.23	  278.28	  277.49	  277.38	  277.99	  276.68	  278.19	  276.77	  276.18	  276.65	  277.95	  277.71	  278.57	   14.14	   12.58	   13.56	   13.23	   13.71	   12.43	   13.80	   14.72	   14.95	   14.69	   14.74	   11.76	    1.30	    0.07	    0.07	    0.05
       8	 15:36:53	  -4.000	  129.90	 1013.98	   22.65	  869.67	   1.194	    3.09	  212.59	  226.82	  132.27	   46.24	   13.09	  -10.46	  -31.35	  -40.08	  -47.42	  -41.01	  -52.49	  -54.62	  -55.52	  -48.50	  -42.14	  -37.08	  -28.95	  -23.29	  -15.59	  -13.18	  -10.70	   -7.75	   -7.57	   26.15	    4.22	 -485.62	 -327.71	 -234.21	 -177.34	 -144.38	 -115.59	  -97.44	  -84.56	  -75.34	  -68.76	  -62.82	  -57.10	  -51.06	  -45.23	  -39.55	  -33.30	  -26.27	  -18.88	  -10.91	   -1.72	    7.56	   16.69	   26.15	  272.54	  272.41	  273.09	  272.00	  271.88	  271.59	  271.96	  272.45	  271.84	  272.47	  272.32	  271.43	  271.90	  271.74	  272.43	  271.99	  271.91	  270.84	  273.17	  273.46	  267.77	  253.66	  236.24	  222.72	  229.81	  250.28	  263.41	  270.39	  271.93	  272.25	  271.20	  273.24	  273.32	  270.46	  272.75	  273.29	  273.33	  272.44	  272.28	  272.73	  271.58	  272.93	  271.87	  271.72	  271.69	  272.74	  272.91	  273.64	   14.28	   13.38	   14.33	   13.97	   14.43	   14.05	   14.70	   15.56	   15.22	   15.02	   15.10	   12.62	    2.30	    0.09	    0.04	   -0.11
       9	 15:37:15	  -3.500	  130.76	 1013.98	   22.68	  870.08	   1.194	   41.98	  212.03	  215.08	  118.10	   31.13	    1.33	  -20.01	  -40.46	  -47.53	  -54.36	  -47.53	  -58.78	  -60.50	  -60.15	  -51.88	  -45.00	  -40.35	  -31.94	  -26.06	  -18.70	  -16.68	  -14.89	  -12.04	  -11.32	   25.26	   41.88	 -407.44	 -288.80	 -208.24	 -156.32	 -127.75	 -109.11	  -96.07	  -85.98	  -77.25	  -69.52	  -60.16	  -52.39	  -45.66	  -40.44	  -35.70	  -30.24	  -24.09	  -17.11	   -9.50	   -0.70	    8.33	   17.45	   25.26	  272.77	  272.62	  273.33	  272.31	  272.08	  272.52	  272.16	  272.68	  272.14	  272.74	  272.69	  271.67	  272.13	  272.06	  272.81	  272.34	  272.36	  271.21	  273.36	  272.91	  264.59	  246.87	  231.69	  227.76	  241.34	  259.28	  267.86	  271.73	  272.48	  272.50	  271.44	  273.44	  275.02	  270.97	  274.48	  274.94	  275.07	  274.20	  274.01	  274.53	  273.30	  274.66	  273.46	  273.50	  273.28	  274.61	  275.20	  275.30	   13.08	   12.35	   13.23	   12.79	   13.15	   13.16	   13.08	   14.02	   14.09	   13.70	   13.76	   11.62	    0.53	    0.08	    0.09	    0.05
      10	 15:37:43	  -3.000	  130.16	 1014.01	   22.71	  870.42	   1.194	   89.80	  208.22	  202.62	  103.60	   21.73	   -8.18	  -29.04	  -47.70	  -52.52	  -59.97	  -53.94	  -62.89	  -64.06	  -62.69	  -54.47	  -47.11	  -41.67	  -32.74	  -26.57	  -21.14	  -19.72	  -17.93	  -16.26	    0.28	   25.31	   89.74	 -331.11	 -251.40	 -183.99	 -140.07	 -115.04	  -98.14	  -86.78	  -77.83	  -70.18	  -63.96	  -58.26	  -54.02	  -48.54	  -44.05	  -39.04	  -33.07	  -25.34	  -16.93	   -7.48	    2.28	   11.33	   19.91	   25.31	  272.10	  272.06	  272.65	  271.61	  271.51	  271.76	  271.48	  272.10	  271.37	  272.08	  272.05	  270.88	  271.44	  271.43	  272.08	  271.72	  271.73	  270.40	  272.64	  271.20	  260.37	  242.84	  233.45	  235.91	  248.97	  262.59	  269.38	  271.66	  272.44	  271.95	  270.84	  272.90	  272.77	  269.21	  272.18	  272.88	  272.89	  272.15	  271.82	  272.96	  271.17	  272.22	  271.55	  271.33	  271.30	  272.33	  273.10	  273.08	   13.80	   13.37	   14.24	   13.80	   14.14	   14.83	   14.49	   15.08	   14.82	   14.46	   14.52	   12.69	    1.52	    0.10	    0.11	   -0.04
      11	 15:38:05	  -2.500	  130.07	 1014.03	   22.72	  869.86	   1.194	  133.47	  208.66	  190.86	   88.60	   10.70	  -20.15	  -38.94	  -56.91	  -59.85	  -66.92	  -60.38	  -68.26	  -68.76	  -66.96	  -57.77	  -50.47	  -44.55	  -35.48	  -30.25	  -24.50	  -24.48	  -21.21	  -20.57	   14.25	   25.39	  132.53	 -265.05	 -218.30	 -163.67	 -127.02	 -105.53	  -90.99	  -80.55	  -72.46	  -65.55	  -59.80	  -54.44	  -50.33	  -44.97	  -40.62	  -36.14	  -31.60	  -26.84	  -22.39	  -17.66	  -10.05	    4.10	   19.71	   25.39	  274.33	  274.42	  274.90	  273.92	  273.78	  274.31	  273.84	  274.34	  273.83	  274.42	  274.43	  273.26	  273.99	  273.71	  274.50	  274.16	  273.84	  272.44	  274.16	  270.75	  257.75	  241.57	  237.74	  244.25	  256.47	  267.70	  272.47	  274.14	  274.97	  274.26	  273.04	  275.01	  276.93	  273.27	  276.71	  277.07	  277.16	  276.38	  276.17	  277.49	  275.51	  276.87	  276.09	  275.64	  275.58	  276.84	  277.35	  277.29	   13.55	   13.25	   14.12	   13.64	   13.91	   14.88	   14.44	   14.85	   14.63	   14.19	   14.28	   12.59	    1.33	    0.14	    0.06	   -0.03
      12	 15:38:32	  -2.000	  132.03	 1014.04	   22.75	  870.02	   1.194	  174.23	  203.07	  174.57	   70.69	   -3.69	  -32.81	  -51.54	  -66.01	  -68.78	  -74.41	  -67.30	  -73.54	  -74.68	  -71.30	  -61.69	  -54.02	  -47.84	  -38.77	  -35.07	  -29.34	  -29.92	  -27.10	  -23.08	   29.29	   25.81	  172.47	 -194.72	 -178.87	 -141.78	 -111.97	  -93.85	  -82.47	  -72.96	  -66.02	  -60.00	  -54.82	  -50.13	  -46.51	  -41.41	  -37.39	  -33.04	  -28.61	  -23.90	  -19.56	  -15.39	  -10.35	   -2.30	   14.38	   25.81	  275.03	  274.88	  275.57	  274.31	  274.42	  274.81	  274.56	  274.81	  274.37	  274.99	  274.89	  273.96	  274.22	  274.28	  275.09	  274.71	  274.48	  273.20	  275.57	  276.30	  274.88	  273.90	  274.57	  273.61	  269.38	  255.03	  241.08	  239.17	  248.87	  260.17	  268.16	  274.31	  275.99	  272.77	  275.65	  276.12	  276.04	  275.25	  275.19	  276.38	  274.52	  275.82	  275.39	  274.54	  274.48	  275.76	  276.16	  276.26	   13.10	   12.62	   13.51	   12.99	   13.22	   13.48	   14.33	   13.56	   14.15	   13.74	   13.74	   11.96	    0.77	    0.10	    0.05	    0.06
      13	 15:39:23	  -2.000	  132.16	 1013.96	   22.82	  869.63	   1.193	  175.96	  205.34	  176.65	   70.40	   -3.38	  -33.45	  -51.47	  -66.20	  -69.41	  -75.09	  -67.91	  -73.99	  -74.77	  -71.52	  -61.52	  -54.52	  -48.04	  -38.84	  -35.00	  -29.29	  -29.82	  -26.93	  -23.15	   28.98	   25.81	  172.97	 -195.49	 -180.05	 -142.20	 -112.78	  -94.40	  -82.61	  -73.37	  -66.38	  -60.32	  -55.11	  -50.26	  -46.58	  -41.65	  -37.54	  -33.19	  -28.76	  -24.01	  -19.49	  -15.46	  -10.41	   -2.21	   14.33	   25.81	  276.20	  276.72	  276.89	  275.93	  275.72	  276.22	  275.78	  276.09	  275.60	  276.20	  276.34	  275.21	  275.68	  275.48	  276.36	  275.95	  275.74	  274.43	  276.41	  274.87	  264.71	  248.44	  240.73	  242.70	  253.78	  266.19	  272.85	  275.62	  276.90	  276.10	  274.96	  276.87	  277.26	  273.84	  276.69	  277.31	  277.30	  276.55	  276.46	  277.66	  275.79	  277.07	  276.74	  275.97	  275.69	  276.95	  276.77	  277.63	   12.89	   12.75	   13.65	   13.07	   13.25	   13.97	   13.41	   13.99	   14.04	   13.55	   13.58	   12.15	    0.49	    0.09	    0.08	    0.09
      14	 15:39:44	  -1.500	  130.28	 1014.01	   22.84	  869.85	   1.193	  206.47	  194.70	  156.81	   52.87	  -17.75	  -45.25	  -60.85	  -74.08	  -77.05	  -80.26	  -73.30	  -78.89	  -78.21	  -75.34	  -64.66	  -56.98	  -50.16	  -41.85	  -38.35	  -33.70	  -33.93	  -33.39	   -4.64	   33.90	   26.75	  205.87	 -124.79	 -140.44	 -116.49	  -96.41	  -82.04	  -72.27	  -63.94	  -58.12	  -53.09	  -48.57	  -44.37	  -41.44	  -36.76	  -33.00	  -28.85	  -24.63	  -19.90	  -15.27	  -11.20	   -6.82	   -2.82	    3.21	   26.75	  273.18	  273.93	  273.80	  272.82	  272.68	  273.22	  272.78	  273.37	  272.71	  273.30	  273.46	  272.32	  272.77	  272.61	  273.39	  273.11	  272.67	  271.12	  272.35	  268.90	  256.25	  240.29	  237.94	  244.02	  256.06	  266.28	  271.02	  272.83	  273.82	  273.08	  271.94	  274.06	  275.16	  270.49	  274.78	  275.32	  275.22	  274.52	  274.47	  275.66	  273.74	  275.18	  274.77	  273.99	  273.56	  275.01	  274.78	  275.79	   12.78	   12.94	   13.82	   13.20	   13.26	   14.01	   13.27	   14.01	   14.01	   13.47	   13.50	   12.41	    0.73	    0.09	    0.08	    0.09
