xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  -4.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.9998    0.256     0.196     0.863     0.897
 0.9947    0.253     0.181     0.865     0.905
 0.9852    0.230     0.158     0.877     0.918
 0.9740    0.207     0.122     0.891     0.937
 0.9620    0.187     0.070     0.902     0.964
 0.9498    0.171     0.011     0.910     0.995
 0.9375    0.155    -0.040     0.919     1.020
 0.9251    0.139    -0.042     0.928     1.021
 0.9126    0.123    -0.045     0.936     1.022
 0.9001    0.109    -0.047     0.944     1.023
 0.8875    0.095    -0.048     0.952     1.024
 0.8749    0.081    -0.050     0.959     1.025
 0.8623    0.068    -0.052     0.966     1.026
 0.8497    0.055    -0.054     0.972     1.027
 0.8371    0.042    -0.056     0.979     1.028
 0.8245    0.029    -0.059     0.985     1.029
 0.8119    0.017    -0.061     0.992     1.030
 0.7993    0.005    -0.064     0.997     1.031
 0.7867   -0.006    -0.067     1.003     1.033
 0.7741   -0.017    -0.070     1.009     1.034
 0.7615   -0.028    -0.074     1.014     1.036
 0.7490   -0.039    -0.078     1.019     1.038
 0.7364   -0.049    -0.082     1.024     1.040
 0.7238   -0.059    -0.087     1.029     1.043
 0.7113   -0.069    -0.093     1.034     1.045
 0.6987   -0.078    -0.099     1.038     1.048
 0.6862   -0.087    -0.105     1.043     1.051
 0.6737   -0.096    -0.112     1.047     1.054
 0.6611   -0.104    -0.119     1.051     1.058
 0.6486   -0.112    -0.127     1.055     1.062
 0.6360   -0.120    -0.135     1.058     1.065
 0.6235   -0.128    -0.143     1.062     1.069
 0.6109   -0.135    -0.151     1.065     1.073
 0.5984   -0.143    -0.159     1.069     1.077
 0.5858   -0.150    -0.168     1.073     1.081
 0.5733   -0.158    -0.176     1.076     1.084
 0.5608   -0.166    -0.184     1.080     1.088
 0.5483   -0.174    -0.192     1.084     1.092
 0.5358   -0.182    -0.199     1.087     1.095
 0.5233   -0.188    -0.206     1.090     1.098
 0.5108   -0.194    -0.212     1.092     1.101
 0.4983   -0.198    -0.217     1.095     1.103
 0.4859   -0.202    -0.221     1.096     1.105
 0.4734   -0.205    -0.225     1.098     1.107
 0.4609   -0.207    -0.228     1.099     1.108
 0.4484   -0.209    -0.230     1.099     1.109
 0.4360   -0.209    -0.232     1.100     1.110
 0.4235   -0.209    -0.232     1.100     1.110
 0.4110   -0.209    -0.232     1.099     1.110
 0.3985   -0.207    -0.232     1.099     1.110
 0.3860   -0.205    -0.231     1.098     1.109
 0.3735   -0.203    -0.229     1.097     1.108
 0.3611   -0.200    -0.226     1.095     1.107
 0.3486   -0.196    -0.223     1.094     1.106
 0.3361   -0.192    -0.220     1.092     1.104
 0.3237   -0.187    -0.216     1.090     1.103
 0.3112   -0.182    -0.211     1.087     1.100
 0.2987   -0.176    -0.206     1.084     1.098
 0.2863   -0.169    -0.200     1.081     1.095
 0.2739   -0.162    -0.193     1.078     1.092
 0.2615   -0.155    -0.186     1.075     1.089
 0.2491   -0.146    -0.178     1.071     1.086
 0.2368   -0.137    -0.170     1.066     1.081
 0.2244   -0.126    -0.160     1.061     1.077
 0.2121   -0.114    -0.148     1.056     1.072
 0.1999   -0.101    -0.136     1.049     1.066
 0.1877   -0.086    -0.122     1.042     1.059
 0.1755   -0.069    -0.106     1.034     1.052
 0.1634   -0.051    -0.088     1.025     1.043
 0.1513   -0.030    -0.068     1.015     1.033
 0.1394   -0.006    -0.045     1.003     1.022
 0.1275    0.021    -0.019     0.989     1.009
 0.1157    0.052     0.011     0.974     0.995
 0.1041    0.088     0.046     0.955     0.977
 0.0926    0.130     0.086     0.933     0.956
 0.0814    0.179     0.134     0.906     0.931
 0.0703    0.237     0.190     0.873     0.900
 0.0597    0.306     0.258     0.833     0.861
 0.0494    0.389     0.339     0.782     0.813
 0.0396    0.487     0.437     0.716     0.750
 0.0306    0.597     0.547     0.635     0.673
 0.0229    0.714     0.666     0.535     0.578
 0.0167    0.833     0.791     0.409     0.458
 0.0117    0.932     0.899     0.262     0.317
 0.0080    0.989     0.971     0.106     0.170
 0.0052    0.995     1.000    -0.071     0.007
 0.0033    0.920     0.963    -0.283    -0.193
 0.0019    0.731     0.830    -0.519    -0.413
 0.0009    0.390     0.562    -0.781    -0.662
 0.0002   -0.204     0.091    -1.097    -0.953
-0.0001   -1.158    -0.676    -1.469    -1.295
-0.0001   -2.526    -1.745    -1.878    -1.657
 0.0002   -3.536    -2.563    -2.130    -1.888
 0.0009   -3.469    -2.614    -2.114    -1.901
 0.0020   -2.986    -2.332    -1.996    -1.825
 0.0036   -2.389    -2.049    -1.841    -1.746
 0.0059   -2.004    -1.827    -1.733    -1.681
 0.0091   -1.867    -1.641    -1.693    -1.625
 0.0136   -1.668    -1.487    -1.633    -1.577
 0.0187   -1.490    -1.379    -1.578    -1.542
 0.0248   -1.343    -1.294    -1.531    -1.515
 0.0330   -1.197    -1.217    -1.482    -1.489
 0.0437   -1.068    -1.146    -1.438    -1.465
 0.0548   -0.962    -1.086    -1.401    -1.444
 0.0658   -0.886    -0.866    -1.373    -1.366
 0.0774   -0.819    -0.702    -1.349    -1.304
 0.0895   -0.763    -0.646    -1.328    -1.283
 0.1017   -0.714    -0.617    -1.309    -1.272
 0.1140   -0.673    -0.593    -1.293    -1.262
 0.1263   -0.638    -0.570    -1.280    -1.253
 0.1386   -0.606    -0.547    -1.267    -1.244
 0.1511   -0.579    -0.526    -1.256    -1.235
 0.1636   -0.554    -0.505    -1.247    -1.227
 0.1761   -0.531    -0.486    -1.237    -1.219
 0.1886   -0.510    -0.468    -1.229    -1.212
 0.2012   -0.491    -0.451    -1.221    -1.205
