xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =  10.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.9998    0.284     0.037     0.846     0.981
 0.9947    0.257     0.037     0.862     0.981
 0.9852    0.219     0.035     0.884     0.982
 0.9740    0.180     0.033     0.905     0.983
 0.9620    0.147     0.030     0.924     0.985
 0.9498    0.118     0.026     0.939     0.987
 0.9375    0.089     0.021     0.954     0.989
 0.9251    0.061     0.016     0.969     0.992
 0.9126    0.033     0.010     0.983     0.995
 0.9001    0.007     0.004     0.997     0.998
 0.8875   -0.019    -0.004     1.010     1.002
 0.8749   -0.045    -0.012     1.022     1.006
 0.8623   -0.070    -0.021     1.035     1.011
 0.8497   -0.096    -0.031     1.047     1.016
 0.8371   -0.121    -0.042     1.059     1.021
 0.8245   -0.146    -0.055     1.070     1.027
 0.8119   -0.171    -0.068     1.082     1.033
 0.7993   -0.195    -0.082     1.093     1.040
 0.7867   -0.220    -0.096     1.104     1.047
 0.7741   -0.244    -0.112     1.115     1.055
 0.7615   -0.268    -0.129     1.126     1.063
 0.7490   -0.292    -0.146     1.137     1.071
 0.7364   -0.316    -0.165     1.147     1.079
 0.7238   -0.340    -0.184     1.158     1.088
 0.7113   -0.364    -0.204     1.168     1.097
 0.6987   -0.388    -0.224     1.178     1.106
 0.6862   -0.413    -0.245     1.189     1.116
 0.6737   -0.437    -0.267     1.199     1.126
 0.6611   -0.460    -0.289     1.208     1.135
 0.6486   -0.484    -0.311     1.218     1.145
 0.6360   -0.508    -0.334     1.228     1.155
 0.6235   -0.532    -0.357     1.238     1.165
 0.6109   -0.557    -0.381     1.248     1.175
 0.5984   -0.582    -0.405     1.258     1.185
 0.5858   -0.608    -0.430     1.268     1.196
 0.5733   -0.635    -0.455     1.278     1.206
 0.5608   -0.662    -0.481     1.289     1.217
 0.5483   -0.690    -0.507     1.300     1.228
 0.5358   -0.719    -0.533     1.311     1.238
 0.5233   -0.746    -0.559     1.321     1.249
 0.5108   -0.773    -0.585     1.331     1.259
 0.4983   -0.799    -0.611     1.341     1.269
 0.4859   -0.825    -0.637     1.351     1.279
 0.4734   -0.851    -0.662     1.361     1.289
 0.4609   -0.876    -0.687     1.370     1.299
 0.4484   -0.901    -0.712     1.379     1.309
 0.4360   -0.926    -0.737     1.388     1.318
 0.4235   -0.951    -0.762     1.397     1.327
 0.4110   -0.976    -0.787     1.406     1.337
 0.3985   -1.001    -0.811     1.415     1.346
 0.3860   -1.026    -0.836     1.423     1.355
 0.3735   -1.052    -0.861     1.433     1.364
 0.3611   -1.078    -0.886     1.442     1.373
 0.3486   -1.105    -0.912     1.451     1.383
 0.3361   -1.133    -0.938     1.460     1.392
 0.3237   -1.161    -0.964     1.470     1.402
 0.3112   -1.190    -0.992     1.480     1.411
 0.2987   -1.221    -1.020     1.490     1.421
 0.2863   -1.253    -1.049     1.501     1.431
 0.2739   -1.288    -1.080     1.512     1.442
 0.2615   -1.324    -1.111     1.524     1.453
 0.2491   -1.361    -1.144     1.537     1.464
 0.2368   -1.401    -1.179     1.550     1.476
 0.2244   -1.443    -1.215     1.563     1.488
 0.2121   -1.488    -1.253     1.577     1.501
 0.1999   -1.535    -1.293     1.592     1.514
 0.1877   -1.586    -1.336     1.608     1.528
 0.1755   -1.641    -1.381     1.625     1.543
 0.1634   -1.700    -1.429     1.643     1.559
 0.1513   -1.765    -1.481     1.663     1.575
 0.1394   -1.835    -1.536     1.684     1.593
 0.1275   -1.913    -1.597     1.707     1.611
 0.1157   -2.000    -1.662     1.732     1.631
 0.1041   -2.096    -1.732     1.760     1.653
 0.0926   -2.207    -1.809     1.791     1.676
 0.0814   -2.330    -1.892     1.825     1.701
 0.0703   -2.472    -1.986     1.863     1.728
 0.0597   -2.633    -2.100     1.906     1.761
 0.0494   -2.822    -2.275     1.955     1.810
 0.0396   -3.048    -2.657     2.012     1.912
 0.0306   -3.344    -3.394     2.084     2.096
 0.0229   -3.706    -3.842     2.169     2.200
 0.0167   -4.021    -3.901     2.241     2.214
 0.0117   -4.327    -3.959     2.308     2.227
 0.0080   -4.813    -4.022     2.411     2.241
 0.0052   -5.870    -4.106     2.621     2.260
 0.0033   -6.822    -4.272     2.797     2.296
 0.0019   -7.374    -4.555     2.894     2.357
 0.0009   -7.816    -4.926     2.969     2.434
 0.0002   -8.529    -5.338     3.087     2.518
-0.0001   -9.277    -5.695     3.206     2.587
-0.0001   -9.599    -5.626     3.256     2.574
 0.0002   -7.835    -4.354     2.972     2.314
 0.0009   -4.745    -2.412     2.397     1.847
 0.0020   -2.381    -0.929     1.839     1.389
 0.0036   -0.839     0.010     1.356     0.995
 0.0059    0.032     0.530     0.984     0.686
 0.0091    0.534     0.818     0.683     0.427
 0.0136    0.828     0.961     0.415     0.197
 0.0187    0.953     0.999     0.217     0.028
 0.0248    0.997     0.988     0.055    -0.110
 0.0330    0.991     0.943    -0.095    -0.239
 0.0437    0.950     0.878    -0.224    -0.350
 0.0548    0.900     0.815    -0.317    -0.430
 0.0658    0.851     0.761    -0.386    -0.489
 0.0774    0.804     0.711    -0.442    -0.538
 0.0895    0.761     0.666    -0.489    -0.578
 0.1017    0.722     0.627    -0.527    -0.611
 0.1140    0.688     0.592    -0.559    -0.638
 0.1263    0.656     0.561    -0.587    -0.662
 0.1386    0.627     0.533    -0.610    -0.683
 0.1511    0.601     0.508    -0.631    -0.701
 0.1636    0.577     0.485    -0.650    -0.718
 0.1761    0.555     0.464    -0.667    -0.732
 0.1886    0.535     0.444    -0.682    -0.746
 0.2012    0.516     0.426    -0.696    -0.758
 0.2138    0.499     0.409    -0.708    -0.769
 0.2264    0.482     0.393    -0.720    -0.779
 0.2390    0.467     0.378    -0.730    -0.788
 0.2516    0.452     0.364    -0.740    -0.797
 0.2643    0.438     0.351    -0.750    -0.806
 0.2769    0.425     0.338    -0.758    -0.813
 0.2896    0.413     0.326    -0.766    -0.821
 0.3023    0.401     0.315    -0.774    -0.828
 0.3149    0.390     0.304    -0.781    -0.834
 0.3276    0.379     0.294    -0.788    -0.840
 0.3403    0.368     0.284    -0.795    -0.846
 0.3530    0.359     0.274    -0.801    -0.852
