xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =   4.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0

   x        Cpi      Cpv        Qi        Qv
 0.9998    0.261     0.161     0.859     0.916
 0.9947    0.244     0.144     0.869     0.925
 0.9852    0.212     0.135     0.887     0.930
 0.9740    0.180     0.122     0.906     0.937
 0.9620    0.152     0.107     0.921     0.945
 0.9498    0.128     0.091     0.934     0.953
 0.9375    0.105     0.075     0.946     0.962
 0.9251    0.081     0.058     0.959     0.970
 0.9126    0.059     0.041     0.970     0.979
 0.9001    0.037     0.024     0.981     0.988
 0.8875    0.016     0.006     0.992     0.997
 0.8749   -0.005    -0.011     1.002     1.006
 0.8623   -0.025    -0.028     1.012     1.014
 0.8497   -0.045    -0.046     1.022     1.023
 0.8371   -0.065    -0.063     1.032     1.031
 0.8245   -0.085    -0.080     1.042     1.039
 0.8119   -0.104    -0.096     1.051     1.047
 0.7993   -0.123    -0.112     1.060     1.055
 0.7867   -0.142    -0.128     1.069     1.062
 0.7741   -0.161    -0.144     1.077     1.069
 0.7615   -0.179    -0.159     1.086     1.076
 0.7490   -0.197    -0.173     1.094     1.083
 0.7364   -0.215    -0.187     1.102     1.090
 0.7238   -0.233    -0.201     1.111     1.096
 0.7113   -0.251    -0.215     1.119     1.102
 0.6987   -0.269    -0.231     1.127     1.109
 0.6862   -0.287    -0.249     1.134     1.118
 0.6737   -0.304    -0.274     1.142     1.129
 0.6611   -0.321    -0.309     1.149     1.144
 0.6486   -0.337    -0.360     1.156     1.166
 0.6360   -0.354    -0.427     1.164     1.195
 0.6235   -0.371    -0.506     1.171     1.227
 0.6109   -0.388    -0.519     1.178     1.232
 0.5984   -0.405    -0.525     1.185     1.235
 0.5858   -0.423    -0.530     1.193     1.237
 0.5733   -0.441    -0.536     1.201     1.239
 0.5608   -0.460    -0.541     1.208     1.242
 0.5483   -0.479    -0.547     1.216     1.244
 0.5358   -0.498    -0.554     1.224     1.247
 0.5233   -0.516    -0.561     1.231     1.249
 0.5108   -0.533    -0.568     1.238     1.252
 0.4983   -0.549    -0.576     1.245     1.255
 0.4859   -0.565    -0.585     1.251     1.259
 0.4734   -0.580    -0.594     1.257     1.262
 0.4609   -0.595    -0.603     1.263     1.266
 0.4484   -0.608    -0.613     1.268     1.270
 0.4360   -0.622    -0.624     1.274     1.274
 0.4235   -0.635    -0.635     1.279     1.279
 0.4110   -0.648    -0.647     1.284     1.283
 0.3985   -0.660    -0.659     1.289     1.288
 0.3860   -0.673    -0.671     1.293     1.293
 0.3735   -0.685    -0.683     1.298     1.297
 0.3611   -0.697    -0.696     1.303     1.302
 0.3486   -0.709    -0.708     1.307     1.307
 0.3361   -0.721    -0.721     1.312     1.312
 0.3237   -0.733    -0.733     1.316     1.317
 0.3112   -0.745    -0.746     1.321     1.321
 0.2987   -0.758    -0.760     1.326     1.326
 0.2863   -0.771    -0.773     1.331     1.332
 0.2739   -0.785    -0.787     1.336     1.337
 0.2615   -0.799    -0.801     1.341     1.342
 0.2491   -0.813    -0.816     1.347     1.348
 0.2368   -0.828    -0.831     1.352     1.353
 0.2244   -0.843    -0.846     1.358     1.359
 0.2121   -0.859    -0.862     1.363     1.365
 0.1999   -0.875    -0.878     1.369     1.370
 0.1877   -0.892    -0.895     1.375     1.377
 0.1755   -0.909    -0.913     1.382     1.383
 0.1634   -0.927    -0.931     1.388     1.389
 0.1513   -0.946    -0.950     1.395     1.396
 0.1394   -0.965    -0.969     1.402     1.403
 0.1275   -0.986    -0.990     1.409     1.411
 0.1157   -1.008    -1.011     1.417     1.418
 0.1041   -1.030    -1.033     1.425     1.426
 0.0926   -1.054    -1.056     1.433     1.434
 0.0814   -1.077    -1.079     1.441     1.442
 0.0703   -1.100    -1.101     1.449     1.450
 0.0597   -1.121    -1.122     1.456     1.457
 0.0494   -1.139    -1.140     1.463     1.463
 0.0396   -1.152    -1.157     1.467     1.469
 0.0306   -1.171    -1.174     1.473     1.474
 0.0229   -1.188    -1.176     1.479     1.475
 0.0167   -1.148    -1.134     1.466     1.461
 0.0117   -1.076    -1.086     1.441     1.444
 0.0080   -1.053    -1.106     1.433     1.451
 0.0052   -1.183    -1.180     1.477     1.476
 0.0033   -1.210    -1.171     1.487     1.473
 0.0019   -1.076    -1.042     1.441     1.429
 0.0009   -0.878    -0.866     1.370     1.366
 0.0002   -0.695    -0.677     1.302     1.295
-0.0001   -0.463    -0.446     1.210     1.203
-0.0001   -0.127    -0.092     1.062     1.045
 0.0002    0.376     0.396     0.790     0.777
 0.0009    0.783     0.790     0.465     0.459
 0.0020    0.962     0.961     0.195     0.197
 0.0036    1.000     1.000    -0.015    -0.013
 0.0059    0.967     0.967    -0.183    -0.181
 0.0091    0.885     0.888    -0.339    -0.335
 0.0136    0.782     0.784    -0.467    -0.464
 0.0187    0.690     0.693    -0.557    -0.554
 0.0248    0.603     0.607    -0.630    -0.627
 0.0330    0.517     0.521    -0.695    -0.692
 0.0437    0.437     0.440    -0.750    -0.748
 0.0548    0.380     0.382    -0.788    -0.786
 0.0658    0.335     0.338    -0.816    -0.814
 0.0774    0.299     0.301    -0.837    -0.836
 0.0895    0.269     0.271    -0.855    -0.854
 0.1017    0.245     0.247    -0.869    -0.868
 0.1140    0.225     0.226    -0.880    -0.880
 0.1263    0.207     0.209    -0.890    -0.890
 0.1386    0.192     0.194    -0.899    -0.898
 0.1511    0.179     0.180    -0.906    -0.905
 0.1636    0.167     0.168    -0.913    -0.912
 0.1761    0.157     0.158    -0.918    -0.918
 0.1886    0.148     0.149    -0.923    -0.923
 0.2012    0.139     0.140    -0.928    -0.927
 0.2138    0.132     0.132    -0.932    -0.931
 0.2264    0.125     0.125    -0.936    -0.935
 0.2390    0.118     0.119    -0.939    -0.939
 0.2516    0.112     0.113    -0.942    -0.942
 0.2643    0.106     0.107    -0.945    -0.945
 0.2769    0.101     0.102    -0.948    -0.948
 0.2896    0.096     0.097    -0.951    -0.950
 0.3023    0.091     0.092    -0.953    -0.953
 0.3149    0.087     0.088    -0.955    -0.955
 0.3276    0.083     0.084    -0.958    -0.957
 0.3403    0.079     0.080    -0.960    -0.959
 0.3530    0.076     0.076    -0.961    -0.961
 0.3656    0.072     0.073    -0.963    -0.963
 0.3783    0.069     0.070    -0.965    -0.964
 0.3910    0.066     0.067    -0.966    -0.966
 0.4037    0.063     0.064    -0.968    -0.967
 0.4164    0.061     0.062    -0.969    -0.969
 0.4291    0.058     0.059    -0.971    -0.970
 0.4418    0.056     0.057    -0.972    -0.971
 0.4545    0.054     0.055    -0.973    -0.972
 0.4671    0.052     0.053    -0.974    -0.973
 0.4798    0.050     0.052    -0.975    -0.974
 0.4925    0.049     0.051    -0.975    -0.974
 0.5052    0.048     0.050    -0.976    -0.975
 0.5179    0.047     0.049    -0.976    -0.975
 0.5306    0.046     0.048    -0.977    -0.976
 0.5433    0.045     0.048    -0.977    -0.976
 0.5559    0.045     0.047    -0.977    -0.976
