xflr5 v6.61
SD6060-104-88_180
T1_Re0.215_M0.00_N9.0
Alpha =   7.0,  Re =   215000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.9998    0.271     0.149     0.854     0.922
 0.9947    0.249     0.142     0.867     0.926
 0.9852    0.214     0.134     0.887     0.931
 0.9740    0.178     0.123     0.907     0.937
 0.9620    0.147     0.110     0.924     0.943
 0.9498    0.121     0.096     0.938     0.951
 0.9375    0.095     0.082     0.951     0.958
 0.9251    0.068     0.066     0.965     0.966
 0.9126    0.043     0.050     0.978     0.975
 0.9001    0.019     0.033     0.990     0.983
 0.8875   -0.004     0.016     1.002     0.992
 0.8749   -0.027    -0.003     1.014     1.001
 0.8623   -0.050    -0.021     1.025     1.011
 0.8497   -0.073    -0.040     1.036     1.020
 0.8371   -0.096    -0.060     1.047     1.029
 0.8245   -0.118    -0.079     1.057     1.039
 0.8119   -0.140    -0.099     1.068     1.048
 0.7993   -0.162    -0.119     1.078     1.058
 0.7867   -0.184    -0.140     1.088     1.067
 0.7741   -0.205    -0.160     1.098     1.077
 0.7615   -0.226    -0.180     1.107     1.086
 0.7490   -0.248    -0.200     1.117     1.096
 0.7364   -0.269    -0.221     1.126     1.105
 0.7238   -0.290    -0.241     1.136     1.114
 0.7113   -0.311    -0.262     1.145     1.123
 0.6987   -0.332    -0.282     1.154     1.132
 0.6862   -0.353    -0.302     1.163     1.141
 0.6737   -0.373    -0.323     1.172     1.150
 0.6611   -0.393    -0.343     1.180     1.159
 0.6486   -0.414    -0.363     1.189     1.167
 0.6360   -0.434    -0.383     1.197     1.176
 0.6235   -0.454    -0.403     1.206     1.185
 0.6109   -0.475    -0.424     1.215     1.193
 0.5984   -0.496    -0.445     1.223     1.202
 0.5858   -0.518    -0.466     1.232     1.211
 0.5733   -0.541    -0.487     1.241     1.220
 0.5608   -0.564    -0.509     1.251     1.228
 0.5483   -0.587    -0.531     1.260     1.237
 0.5358   -0.611    -0.553     1.269     1.246
 0.5233   -0.633    -0.575     1.278     1.255
 0.5108   -0.655    -0.595     1.286     1.263
 0.4983   -0.677    -0.616     1.295     1.271
 0.4859   -0.697    -0.636     1.303     1.279
 0.4734   -0.718    -0.655     1.311     1.287
 0.4609   -0.737    -0.674     1.318     1.294
 0.4484   -0.757    -0.693     1.325     1.301
 0.4360   -0.776    -0.711     1.333     1.308
 0.4235   -0.794    -0.728     1.340     1.315
 0.4110   -0.813    -0.746     1.347     1.321
 0.3985   -0.832    -0.763     1.353     1.328
 0.3860   -0.850    -0.780     1.360     1.334
 0.3735   -0.869    -0.797     1.367     1.340
 0.3611   -0.888    -0.813     1.374     1.347
 0.3486   -0.907    -0.830     1.381     1.353
 0.3361   -0.927    -0.846     1.388     1.359
 0.3237   -0.946    -0.863     1.395     1.365
 0.3112   -0.967    -0.880     1.402     1.371
 0.2987   -0.988    -0.897     1.410     1.377
 0.2863   -1.010    -0.915     1.418     1.384
 0.2739   -1.034    -0.937     1.426     1.392
 0.2615   -1.058    -0.967     1.435     1.402
