Run_nr  Alpha    Delta_Pb     P_bar     T       Fx      Fy      Fz      rpm    Rho
       /  degrees     Pa     Pa     degr._C     N     N     N   1/min    kg/m^3
       1   -5.000    130.90  1014.24   23.20   0.317  -3.681  -0.067   870.0  1.192
       2   -4.500    131.89  1014.28   23.29   0.275  -3.053  -0.055   870.1  1.192
       3   -4.000    131.31  1014.27   23.34   0.247  -2.409  -0.047   869.8  1.192
       4   -3.500    131.80  1014.24   23.37   0.225  -1.893  -0.040   869.8  1.192
       5   -3.000    132.28  1014.26   23.41   0.206  -1.413  -0.028   870.0  1.191
       6   -2.500    131.25  1014.30   23.44   0.206  -0.923  -0.022   870.3  1.191
       7   -2.000    130.66  1014.29   23.45   0.201  -0.397  -0.019   869.8  1.191
       8   -1.500    131.79  1014.30   23.47   0.199   0.140  -0.015   870.0  1.191
       9   -1.000    129.10  1014.32   23.49   0.204   0.624  -0.010   869.9  1.191
      10   -0.500    133.29  1014.34   23.51   0.211   1.215  -0.011   869.9  1.191
      11   -0.000    132.32  1014.33   23.53   0.219   1.860  -0.006   869.8  1.191
      12    0.500    132.60  1014.31   23.55   0.234   2.631   0.005   870.2  1.191
      13    1.000    132.46  1014.30   23.57   0.252   3.608   0.009   870.1  1.191
      14    1.500    129.91  1014.35   23.59   0.264   4.248   0.011   870.1  1.191
      15    2.000    130.87  1014.35   23.60   0.290   4.832   0.017   869.6  1.191
      16    2.500    130.10  1014.35   23.62   0.317   5.417   0.019   870.0  1.191
      17    3.000    129.95  1014.33   23.63   0.337   5.967   0.018   870.3  1.191
      18    3.500    132.40  1014.34   23.63   0.376   6.656   0.017   870.1  1.191
      19    4.000    132.79  1014.37   23.65   0.410   7.261   0.017   870.2  1.191
      20    4.500    130.56  1014.38   23.67   0.440   7.870   0.019   869.9  1.191
      21    5.000    131.69  1014.36   23.67   0.481   8.566   0.015   870.5  1.191
      22    5.500    131.96  1014.31   23.69   0.523   9.182   0.017   870.0  1.190
      23    6.000    131.36  1014.32   23.69   0.562   9.819   0.013   870.2  1.190
      24    6.500    132.66  1014.37   23.70   0.608  10.460   0.008   869.9  1.190
      25    7.000    127.87  1014.37   23.70   0.649  10.885   0.005   869.9  1.190
      26    7.500    130.98  1014.34   23.71   0.717  11.694  -0.003   870.0  1.190
      27    8.000    130.99  1014.35   23.73   0.769  12.251  -0.005   870.3  1.190
      28    8.500    130.29  1014.35   23.74   0.826  12.711  -0.015   869.9  1.190
      29    9.000    130.00  1014.36   23.75   0.893  13.293  -0.022   869.8  1.190
      30    9.500    130.99  1014.33   23.75   0.964  13.877  -0.030   869.9  1.190
      31   10.000    129.53  1014.32   23.76   1.028  14.281  -0.042   870.0  1.190
      32   10.500    129.45  1014.32   23.77   1.101  14.712  -0.051   870.1  1.190
      33   11.000    131.05  1014.33   23.78   1.194  15.160  -0.063   870.0  1.190
      34   11.500    129.48  1014.33   23.79   1.268  15.457  -0.074   870.0  1.190
      35   12.000    131.07  1014.34   23.81   1.345  15.769  -0.088   869.9  1.190
      36   12.500    131.34  1014.32   23.83   1.441  16.186  -0.103   870.1  1.190
      37   13.000    130.41  1014.35   23.84   1.523  16.269  -0.116   870.1  1.190
      38   13.100    130.32  1014.38   23.84   1.521  16.134  -0.113   870.4  1.190
      39   13.200    132.39  1014.40   23.85   1.557  16.404  -0.116   869.9  1.190
      40   13.300    129.18  1014.41   23.85   1.563  16.259  -0.115   870.0  1.190
      41   13.400    129.92  1014.44   23.86   1.566  16.038  -0.115   870.0  1.190
      42   13.500    130.37  1014.46   23.86   1.588  16.063  -0.121   870.2  1.190
      43   13.600    129.83  1014.49   23.86   1.586  16.021  -0.119   870.0  1.190
      44   13.700    131.52  1014.48   23.87   1.587  15.883  -0.125   869.9  1.190
      45   13.800    129.37  1014.49   23.87   1.606  15.884  -0.126   870.2  1.190
      46   13.900    131.28  1014.53   23.87   1.599  15.757  -0.124   870.2  1.190
      47   14.000    131.32  1014.56   23.87   1.603  15.764  -0.124   870.1  1.190
      48   14.100    132.20  1014.40   23.89   1.764  16.506  -0.134   870.2  1.190
      49   14.200    128.29  1014.40   23.91   1.754  16.070  -0.136   870.0  1.190
      50   14.300    129.47  1014.42   23.92   1.808  16.253  -0.139   869.9  1.190
      51   14.400    130.60  1014.43   23.91   1.847  16.335  -0.141   870.2  1.190
      52   14.412    131.42  1014.42   23.93   1.842  16.197  -0.140   870.1  1.190
      53   14.500    130.26  1014.40   23.94   1.884  16.310  -0.142   870.2  1.190
      54   15.000    130.84  1014.41   23.93   2.085  16.298  -0.141   869.6  1.190
      55   15.500    127.76  1014.42   23.93   3.523  15.290  -0.048   870.2  1.190
      56   16.000    130.24  1014.40   23.93   3.894  15.050  -0.042   870.1  1.190
      57   16.500    129.16  1014.37   23.95   3.985  14.029  -0.050   870.0  1.189
      58   17.000    127.52  1014.35   23.94   4.090  13.206  -0.060   870.2  1.189
      59   16.500    126.65  1014.35   23.96   3.969  13.802  -0.044   869.7  1.189
      60   16.000    130.29  1014.32   23.97   3.887  15.026  -0.035   870.4  1.189
      61   15.500    127.82  1014.32   23.98   3.592  15.516  -0.043   870.1  1.189
      62   15.000    128.83  1014.32   23.98   2.975  15.940  -0.079   869.8  1.189
      63   14.500    129.74  1014.32   23.98   1.885  16.244  -0.142   870.3  1.189
      64   14.000    130.37  1014.30   23.99   1.728  16.283  -0.126   870.1  1.189
      65   13.500    130.77  1014.30   23.99   1.606  16.226  -0.115   870.3  1.189
      66   17.000    127.95  1014.30   24.01   4.127  13.339  -0.058   870.2  1.189
      67   16.500    129.50  1014.32   24.02   4.019  14.036  -0.046   870.0  1.189
      68   15.500    127.55  1014.33   24.03   3.516  15.108  -0.037   869.9  1.189
      69   14.500    129.25  1014.37   24.03   1.880  16.203  -0.129   869.9  1.189
      70   13.500    130.11  1014.33   24.04   1.615  16.267  -0.111   869.7  1.189
      71   12.500    131.54  1014.33   24.05   1.448  16.121  -0.084   869.7  1.189
      72   11.500    129.91  1014.32   24.05   1.279  15.475  -0.052   869.9  1.189
      73   10.000    130.31  1014.35   24.06   1.040  14.323  -0.020   869.9  1.189
