xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -1.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.041205
Cy    = ,   0.000000
Cd=,   0.010126,ICd=,    0.000106,PCd=,    0.010020
Cl   = ,-1.55567e-16
Cm   =,  -0.0373878
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.146383, YCP=,    0.000000, ZCP=,    0.058695 
XNP=,    0.000000
Bending =,    0.129232

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -0.372, 0.007339, 0.009799, 0.000048,-0.015630,-0.012130, 0.8501, 0.9008, 1.1053, 0.0000
   -0.4134,   0.1600, -0.375, 0.012604, 0.009814, 0.000082,-0.017609,-0.015081, 0.8488, 0.9037, 1.7175, 0.0000
   -0.4078,   0.1600, -0.366, 0.017977, 0.009829, 0.000115,-0.019762,-0.017879, 0.8475, 0.9066, 2.5741, 0.0000
   -0.3993,   0.1600, -0.345, 0.022929, 0.009843, 0.000138,-0.023578,-0.020924, 0.8462, 0.9094, 2.1971, 0.0001
   -0.3881,   0.1600, -0.316, 0.027282, 0.009856, 0.000150,-0.027360,-0.023650, 0.8452, 0.9118, 1.8341, 0.0003
   -0.3743,   0.1600, -0.283, 0.030976, 0.009866, 0.000153,-0.030557,-0.025850, 0.8442, 0.9138, 1.6186, 0.0008
   -0.3579,   0.1600, -0.249, 0.034030, 0.009875, 0.000148,-0.033066,-0.027509, 0.8435, 0.9155, 1.4859, 0.0016
   -0.3391,   0.1600, -0.219, 0.036518, 0.009882, 0.000140,-0.034948,-0.028698, 0.8429, 0.9169, 1.3976, 0.0031
   -0.3179,   0.1600, -0.193, 0.038534, 0.009888, 0.000129,-0.036327,-0.029520, 0.8424, 0.9180, 1.3345, 0.0055
   -0.2946,   0.1600, -0.171, 0.040172, 0.009892, 0.000120,-0.037329,-0.030073, 0.8420, 0.9189, 1.2869, 0.0090
   -0.2693,   0.1600, -0.153, 0.041509, 0.009896, 0.000111,-0.038059,-0.030440, 0.8416, 0.9196, 1.2499, 0.0139
   -0.2421,   0.1600, -0.139, 0.042606, 0.009899, 0.000103,-0.038597,-0.030682, 0.8414, 0.9202, 1.2204, 0.0204
   -0.2133,   0.1600, -0.128, 0.043506, 0.009902, 0.000097,-0.038999,-0.030844, 0.8411, 0.9207, 1.1968, 0.0288
   -0.1830,   0.1600, -0.120, 0.044238, 0.009904, 0.000093,-0.039302,-0.030952, 0.8410, 0.9211, 1.1781, 0.0394
   -0.1515,   0.1600, -0.113, 0.044823, 0.009906, 0.000089,-0.039530,-0.031025, 0.8408, 0.9215, 1.1634, 0.0523
   -0.1189,   0.1600, -0.109, 0.045277, 0.009907, 0.000086,-0.039700,-0.031075, 0.8407, 0.9217, 1.1522, 0.0677
   -0.0855,   0.1600, -0.105, 0.045609, 0.009908, 0.000084,-0.039820,-0.031107, 0.8406, 0.9219, 1.1440, 0.0856
   -0.0515,   0.1600, -0.103, 0.045827, 0.009909, 0.000082,-0.039897,-0.031126, 0.8406, 0.9220, 1.1388, 0.1061
   -0.0172,   0.1600, -0.102, 0.045934, 0.009909, 0.000082,-0.039934,-0.031136, 0.8405, 0.9221, 1.1362, 0.1292
    0.0172,   0.1600, -0.102, 0.045934, 0.009909, 0.000082,-0.039934,-0.031136, 0.8405, 0.9221, 1.1362, 0.1292
    0.0515,   0.1600, -0.103, 0.045827, 0.009909, 0.000082,-0.039897,-0.031126, 0.8406, 0.9220, 1.1388, 0.1061
    0.0855,   0.1600, -0.105, 0.045609, 0.009908, 0.000084,-0.039820,-0.031107, 0.8406, 0.9219, 1.1440, 0.0856
    0.1189,   0.1600, -0.109, 0.045277, 0.009907, 0.000086,-0.039700,-0.031075, 0.8407, 0.9217, 1.1522, 0.0677
    0.1515,   0.1600, -0.113, 0.044823, 0.009906, 0.000089,-0.039530,-0.031025, 0.8408, 0.9215, 1.1634, 0.0523
    0.1830,   0.1600, -0.120, 0.044238, 0.009904, 0.000093,-0.039302,-0.030952, 0.8410, 0.9211, 1.1781, 0.0394
    0.2133,   0.1600, -0.128, 0.043506, 0.009902, 0.000097,-0.038999,-0.030844, 0.8411, 0.9207, 1.1968, 0.0288
    0.2421,   0.1600, -0.139, 0.042606, 0.009899, 0.000103,-0.038597,-0.030682, 0.8414, 0.9202, 1.2204, 0.0204
    0.2693,   0.1600, -0.153, 0.041509, 0.009896, 0.000111,-0.038059,-0.030440, 0.8416, 0.9196, 1.2499, 0.0139
    0.2946,   0.1600, -0.171, 0.040172, 0.009892, 0.000120,-0.037329,-0.030073, 0.8420, 0.9189, 1.2869, 0.0090
    0.3179,   0.1600, -0.193, 0.038534, 0.009888, 0.000129,-0.036327,-0.029520, 0.8424, 0.9180, 1.3345, 0.0055
    0.3391,   0.1600, -0.219, 0.036518, 0.009882, 0.000140,-0.034948,-0.028698, 0.8429, 0.9169, 1.3976, 0.0031
    0.3579,   0.1600, -0.249, 0.034030, 0.009875, 0.000148,-0.033066,-0.027509, 0.8435, 0.9155, 1.4859, 0.0016
    0.3743,   0.1600, -0.283, 0.030976, 0.009866, 0.000153,-0.030557,-0.025850, 0.8442, 0.9138, 1.6186, 0.0008
    0.3881,   0.1600, -0.316, 0.027282, 0.009856, 0.000150,-0.027360,-0.023650, 0.8452, 0.9118, 1.8341, 0.0003
    0.3993,   0.1600, -0.345, 0.022929, 0.009843, 0.000138,-0.023578,-0.020924, 0.8462, 0.9094, 2.1971, 0.0001
    0.4078,   0.1600, -0.366, 0.017977, 0.009829, 0.000115,-0.019762,-0.017879, 0.8475, 0.9066, 2.5741, 0.0000
    0.4134,   0.1600, -0.375, 0.012604, 0.009814, 0.000082,-0.017609,-0.015081, 0.8488, 0.9037, 1.7175, 0.0000
    0.4163,   0.1600, -0.372, 0.007339, 0.009799, 0.000048,-0.015630,-0.012130, 0.8501, 0.9008, 1.1053, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.1073
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0811
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,      0.0355
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0068
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0411
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0654
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0810
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0935
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1098
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1378
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1892
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.2764
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.1671
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.5977
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.0437
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1737
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1867
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1761
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1617
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1392
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1056
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0657
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0201
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,      0.0260
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0663
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.0922
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1443
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.1115
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0563
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,      0.0053
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0369
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0678
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0876
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1033
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1239
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1597
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.2255
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.3224
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.2897
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.7479
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,      0.0062
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.1862
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2117
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2027
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1867
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1578
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1139
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0638
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0096
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0456
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.1004
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1341
Strip 3
