xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -2.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,  -0.031796
Cy    = ,   0.000000
Cd=,   0.009858,ICd=,    0.000060,PCd=,    0.009798
Cl   = ,-2.51305e-16
Cm   =,  -0.0199477
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   -0.103371, YCP=,   -0.000000, ZCP=,   -0.070972 
XNP=,    0.000000
Bending =,   -0.092336

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600,  0.101,-0.003543, 0.009763, 0.000006,-0.009185,-0.011109, 0.8534, 0.8915,-1.2805, 0.0000
   -0.4134,   0.1600,  0.072,-0.006069, 0.009755, 0.000008,-0.010911,-0.014798, 0.8542, 0.8890,-0.7364,-0.0000
   -0.4078,   0.1600,  0.058,-0.008765, 0.009746, 0.000009,-0.014128,-0.019659, 0.8551, 0.8864,-0.6661,-0.0000
   -0.3993,   0.1600,  0.058,-0.011561, 0.009737, 0.000012,-0.017091,-0.023387, 0.8560, 0.8836,-0.7058,-0.0000
   -0.3881,   0.1600,  0.068,-0.014478, 0.009728, 0.000017,-0.019316,-0.026241, 0.8569, 0.8807,-0.7240,-0.0001
   -0.3743,   0.1600,  0.081,-0.017491, 0.009719, 0.000025,-0.020744,-0.028329, 0.8579, 0.8777,-0.7090,-0.0004
   -0.3579,   0.1600,  0.095,-0.020526, 0.009709, 0.000034,-0.021485,-0.029775, 0.8589, 0.8747,-0.6714,-0.0008
   -0.3391,   0.1600,  0.106,-0.023485, 0.009700, 0.000043,-0.021708,-0.030719, 0.8598, 0.8718,-0.6240,-0.0017
   -0.3179,   0.1600,  0.114,-0.026274, 0.009691, 0.000052,-0.021587,-0.031297, 0.8607, 0.8690,-0.5759,-0.0031
   -0.2946,   0.1600,  0.118,-0.028818, 0.009683, 0.000059,-0.021269,-0.031629, 0.8615, 0.8665,-0.5320,-0.0052
   -0.2693,   0.1600,  0.119,-0.031073, 0.009676, 0.000064,-0.020863,-0.031803, 0.8623, 0.8642,-0.4944,-0.0082
   -0.2421,   0.1600,  0.118,-0.033021, 0.009670, 0.000068,-0.020440,-0.031884, 0.8629, 0.8623,-0.4632,-0.0125
   -0.2133,   0.1600,  0.116,-0.034666, 0.009664, 0.000070,-0.020043,-0.031915, 0.8634, 0.8607,-0.4381,-0.0182
   -0.1830,   0.1600,  0.113,-0.036023, 0.009660, 0.000071,-0.019694,-0.031919, 0.8639, 0.8593,-0.4183,-0.0256
   -0.1515,   0.1600,  0.110,-0.037111, 0.009657, 0.000071,-0.019403,-0.031912, 0.8642, 0.8583,-0.4029,-0.0348
   -0.1189,   0.1600,  0.107,-0.037952, 0.009654, 0.000071,-0.019174,-0.031901, 0.8645, 0.8574,-0.3914,-0.0459
   -0.0855,   0.1600,  0.105,-0.038566, 0.009652, 0.000071,-0.019003,-0.031890, 0.8647, 0.8568,-0.3832,-0.0592
   -0.0515,   0.1600,  0.104,-0.038966, 0.009651, 0.000071,-0.018891,-0.031882, 0.8648, 0.8564,-0.3780,-0.0747
   -0.0172,   0.1600,  0.103,-0.039165, 0.009650, 0.000071,-0.018835,-0.031878, 0.8649, 0.8562,-0.3754,-0.0923
    0.0172,   0.1600,  0.103,-0.039165, 0.009650, 0.000071,-0.018835,-0.031878, 0.8649, 0.8562,-0.3754,-0.0923
    0.0515,   0.1600,  0.104,-0.038966, 0.009651, 0.000071,-0.018891,-0.031882, 0.8648, 0.8564,-0.3780,-0.0747
    0.0855,   0.1600,  0.105,-0.038566, 0.009652, 0.000071,-0.019003,-0.031890, 0.8647, 0.8568,-0.3832,-0.0592
    0.1189,   0.1600,  0.107,-0.037952, 0.009654, 0.000071,-0.019174,-0.031901, 0.8645, 0.8574,-0.3914,-0.0459
    0.1515,   0.1600,  0.110,-0.037111, 0.009657, 0.000071,-0.019403,-0.031912, 0.8642, 0.8583,-0.4029,-0.0348
    0.1830,   0.1600,  0.113,-0.036023, 0.009660, 0.000071,-0.019694,-0.031919, 0.8639, 0.8593,-0.4183,-0.0256
    0.2133,   0.1600,  0.116,-0.034666, 0.009664, 0.000070,-0.020043,-0.031915, 0.8634, 0.8607,-0.4381,-0.0182
    0.2421,   0.1600,  0.118,-0.033021, 0.009670, 0.000068,-0.020440,-0.031884, 0.8629, 0.8623,-0.4632,-0.0125
    0.2693,   0.1600,  0.119,-0.031073, 0.009676, 0.000064,-0.020863,-0.031803, 0.8623, 0.8642,-0.4944,-0.0082
    0.2946,   0.1600,  0.118,-0.028818, 0.009683, 0.000059,-0.021269,-0.031629, 0.8615, 0.8665,-0.5320,-0.0052
    0.3179,   0.1600,  0.114,-0.026274, 0.009691, 0.000052,-0.021587,-0.031297, 0.8607, 0.8690,-0.5759,-0.0031
    0.3391,   0.1600,  0.106,-0.023485, 0.009700, 0.000043,-0.021708,-0.030719, 0.8598, 0.8718,-0.6240,-0.0017
    0.3579,   0.1600,  0.095,-0.020526, 0.009709, 0.000034,-0.021485,-0.029775, 0.8589, 0.8747,-0.6714,-0.0008
    0.3743,   0.1600,  0.081,-0.017491, 0.009719, 0.000025,-0.020744,-0.028329, 0.8579, 0.8777,-0.7090,-0.0004
    0.3881,   0.1600,  0.068,-0.014478, 0.009728, 0.000017,-0.019316,-0.026241, 0.8569, 0.8807,-0.7240,-0.0001
    0.3993,   0.1600,  0.058,-0.011561, 0.009737, 0.000012,-0.017091,-0.023387, 0.8560, 0.8836,-0.7058,-0.0000
    0.4078,   0.1600,  0.058,-0.008765, 0.009746, 0.000009,-0.014128,-0.019659, 0.8551, 0.8864,-0.6661,-0.0000
    0.4134,   0.1600,  0.072,-0.006069, 0.009755, 0.000008,-0.010911,-0.014798, 0.8542, 0.8890,-0.7364,-0.0000
    0.4163,   0.1600,  0.101,-0.003543, 0.009763, 0.000006,-0.009185,-0.011109, 0.8534, 0.8915,-1.2805, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0998
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0738
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,      0.0325
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0086
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0440
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0700
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0874
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1021
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1212
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1538
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.2148
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.3286
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.2868
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.6448
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.0016
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1512
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1740
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1681
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1560
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1347
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1018
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0622
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0157
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,      0.0349
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0832
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.1102
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1375
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.1041
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0505
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,      0.0021
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0394
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0715
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0934
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1119
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1362
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1781
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.2566
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.3885
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.4557
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.8019
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,      0.0627
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.1545
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.1932
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.1913
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1794
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1533
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1111
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0612
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0051
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0546
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.1130
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1469
Strip 3
