xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   1.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.187108
Cy    = ,   0.000000
Cd=,   0.012322,ICd=,    0.002122,PCd=,    0.010200
Cl   = ,-1.10361e-18
Cm   =,  -0.0723015
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.061544, YCP=,    0.000000, ZCP=,    0.014770 
XNP=,    0.000000
Bending =,    0.572267

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -1.316, 0.029098, 0.009861, 0.000669,-0.028549,-0.014196, 0.8447, 0.9128, 0.4962, 0.0000
   -0.4134,   0.1600, -1.267, 0.049939, 0.009920, 0.001104,-0.031007,-0.015631, 0.8395, 0.9243, 0.5029, 0.0000
   -0.4078,   0.1600, -1.212, 0.071445, 0.009978, 0.001512,-0.031019,-0.014267, 0.8346, 0.9335, 0.4614, 0.0001
   -0.3993,   0.1600, -1.151, 0.091888, 0.010018, 0.001846,-0.036542,-0.015932, 0.8303, 0.9411, 0.4417, 0.0003
   -0.3881,   0.1600, -1.082, 0.110779, 0.010045, 0.002092,-0.043439,-0.018393, 0.8265, 0.9472, 0.4321, 0.0012
   -0.3743,   0.1600, -1.010, 0.127881, 0.010062, 0.002254,-0.050182,-0.020807, 0.8234, 0.9516, 0.4256, 0.0030
   -0.3579,   0.1600, -0.937, 0.143112, 0.010073, 0.002342,-0.056230,-0.022885, 0.8208, 0.9548, 0.4202, 0.0066
   -0.3391,   0.1600, -0.868, 0.156494, 0.010082, 0.002372,-0.061438,-0.024562, 0.8186, 0.9576, 0.4151, 0.0128
   -0.3179,   0.1600, -0.804, 0.168120, 0.010090, 0.002360,-0.065825,-0.025867, 0.8167, 0.9600, 0.4104, 0.0226
   -0.2946,   0.1600, -0.747, 0.178121, 0.010093, 0.002322,-0.069472,-0.026862, 0.8150, 0.9621, 0.4062, 0.0373
   -0.2693,   0.1600, -0.696, 0.186642, 0.010090, 0.002268,-0.072481,-0.027612, 0.8134, 0.9637, 0.4024, 0.0581
   -0.2421,   0.1600, -0.653, 0.193830, 0.010087, 0.002208,-0.074946,-0.028175, 0.8121, 0.9651, 0.3991, 0.0862
   -0.2133,   0.1600, -0.616, 0.199817, 0.010084, 0.002148,-0.076950,-0.028597, 0.8110, 0.9662, 0.3963, 0.1229
   -0.1830,   0.1600, -0.585, 0.204726, 0.010082, 0.002091,-0.078562,-0.028912, 0.8102, 0.9671, 0.3940, 0.1693
   -0.1515,   0.1600, -0.560, 0.208660, 0.010078, 0.002040,-0.079832,-0.029146, 0.8094, 0.9678, 0.3922, 0.2263
   -0.1189,   0.1600, -0.541, 0.211704, 0.010074, 0.001998,-0.080803,-0.029315, 0.8088, 0.9684, 0.3907, 0.2948
   -0.0855,   0.1600, -0.526, 0.213927, 0.010071, 0.001966,-0.081506,-0.029433, 0.8083, 0.9688, 0.3897, 0.3752
   -0.0515,   0.1600, -0.517, 0.215382, 0.010069, 0.001944,-0.081962,-0.029507, 0.8081, 0.9690, 0.3890, 0.4677
   -0.0172,   0.1600, -0.512, 0.216099, 0.010068, 0.001933,-0.082187,-0.029542, 0.8079, 0.9692, 0.3887, 0.5723
    0.0172,   0.1600, -0.512, 0.216099, 0.010068, 0.001933,-0.082187,-0.029542, 0.8079, 0.9692, 0.3887, 0.5723
    0.0515,   0.1600, -0.517, 0.215382, 0.010069, 0.001944,-0.081962,-0.029507, 0.8081, 0.9690, 0.3890, 0.4677
    0.0855,   0.1600, -0.526, 0.213927, 0.010071, 0.001966,-0.081506,-0.029433, 0.8083, 0.9688, 0.3897, 0.3752
    0.1189,   0.1600, -0.541, 0.211704, 0.010074, 0.001998,-0.080803,-0.029315, 0.8088, 0.9684, 0.3907, 0.2948
    0.1515,   0.1600, -0.560, 0.208660, 0.010078, 0.002040,-0.079832,-0.029146, 0.8094, 0.9678, 0.3922, 0.2263
    0.1830,   0.1600, -0.585, 0.204726, 0.010082, 0.002091,-0.078562,-0.028912, 0.8102, 0.9671, 0.3940, 0.1693
    0.2133,   0.1600, -0.616, 0.199817, 0.010084, 0.002148,-0.076950,-0.028597, 0.8110, 0.9662, 0.3963, 0.1229
    0.2421,   0.1600, -0.653, 0.193830, 0.010087, 0.002208,-0.074946,-0.028175, 0.8121, 0.9651, 0.3991, 0.0862
    0.2693,   0.1600, -0.696, 0.186642, 0.010090, 0.002268,-0.072481,-0.027612, 0.8134, 0.9637, 0.4024, 0.0581
    0.2946,   0.1600, -0.747, 0.178121, 0.010093, 0.002322,-0.069472,-0.026862, 0.8150, 0.9621, 0.4062, 0.0373
    0.3179,   0.1600, -0.804, 0.168120, 0.010090, 0.002360,-0.065825,-0.025867, 0.8167, 0.9600, 0.4104, 0.0226
    0.3391,   0.1600, -0.868, 0.156494, 0.010082, 0.002372,-0.061438,-0.024562, 0.8186, 0.9576, 0.4151, 0.0128
    0.3579,   0.1600, -0.937, 0.143112, 0.010073, 0.002342,-0.056230,-0.022885, 0.8208, 0.9548, 0.4202, 0.0066
    0.3743,   0.1600, -1.010, 0.127881, 0.010062, 0.002254,-0.050182,-0.020807, 0.8234, 0.9516, 0.4256, 0.0030
    0.3881,   0.1600, -1.082, 0.110779, 0.010045, 0.002092,-0.043439,-0.018393, 0.8265, 0.9472, 0.4321, 0.0012
    0.3993,   0.1600, -1.151, 0.091888, 0.010018, 0.001846,-0.036542,-0.015932, 0.8303, 0.9411, 0.4417, 0.0003
    0.4078,   0.1600, -1.212, 0.071445, 0.009978, 0.001512,-0.031019,-0.014267, 0.8346, 0.9335, 0.4614, 0.0001
    0.4134,   0.1600, -1.267, 0.049939, 0.009920, 0.001104,-0.031007,-0.015631, 0.8395, 0.9243, 0.5029, 0.0000
    0.4163,   0.1600, -1.316, 0.029098, 0.009861, 0.000669,-0.028549,-0.014196, 0.8447, 0.9128, 0.4962, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0261
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0088
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.0127
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0307
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0508
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0667
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0760
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0826
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0923
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1102
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1419
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.1776
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.0515
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.4783
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.1345
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.2225
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2161
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1968
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1789
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1556
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1233
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0880
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0562
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.0462
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.0560
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.0436
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1084
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0804
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0359
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0074
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0437
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0684
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0819
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0908
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1030
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1259
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.1660
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.1958
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.0110
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.6026
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.1140
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.2527
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2515
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2287
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2053
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1723
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1273
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0804
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0376
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.0048
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.0281
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.0569
Strip 3
