xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   2.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.259899
Cy    = ,   0.000000
Cd=,   0.014200,ICd=,    0.004086,PCd=,    0.010114
Cl   = ,8.09823e-17
Cm   =,  -0.0897298
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.054803, YCP=,   -0.000000, ZCP=,    0.011336 
XNP=,    0.000000
Bending =,    0.793194

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -1.788, 0.039947, 0.009892, 0.001247,-0.035008,-0.015239, 0.8420, 0.9188, 0.4417, 0.0000
   -0.4134,   0.1600, -1.712, 0.068555, 0.009970, 0.002049,-0.037691,-0.015896, 0.8353, 0.9323, 0.4307, 0.0000
   -0.4078,   0.1600, -1.635, 0.098106, 0.010027, 0.002800,-0.036627,-0.012440, 0.8290, 0.9431, 0.3763, 0.0001
   -0.3993,   0.1600, -1.553, 0.126274, 0.010061, 0.003424,-0.043002,-0.013408, 0.8237, 0.9513, 0.3609, 0.0005
   -0.3881,   0.1600, -1.465, 0.152413, 0.010079, 0.003897,-0.051455,-0.015731, 0.8193, 0.9567, 0.3578, 0.0016
   -0.3743,   0.1600, -1.373, 0.176202, 0.010094, 0.004222,-0.059968,-0.018249, 0.8153, 0.9617, 0.3571, 0.0041
   -0.3579,   0.1600, -1.281, 0.197506, 0.010085, 0.004416,-0.067785,-0.020534, 0.8115, 0.9658, 0.3565, 0.0091
   -0.3391,   0.1600, -1.192, 0.216321, 0.010068, 0.004503,-0.074654,-0.022452, 0.8079, 0.9692, 0.3554, 0.0176
   -0.3179,   0.1600, -1.110, 0.232740, 0.010046, 0.004509,-0.080543,-0.023997, 0.8046, 0.9721, 0.3540, 0.0312
   -0.2946,   0.1600, -1.035, 0.246911, 0.010027, 0.004459,-0.085513,-0.025211, 0.8017, 0.9746, 0.3524, 0.0515
   -0.2693,   0.1600, -0.968, 0.259016, 0.010011, 0.004375,-0.089661,-0.026151, 0.7993, 0.9768, 0.3508, 0.0801
   -0.2421,   0.1600, -0.909, 0.269241, 0.009995, 0.004273,-0.093091,-0.026873, 0.7972, 0.9786, 0.3493, 0.1190
   -0.2133,   0.1600, -0.859, 0.277767, 0.009976, 0.004166,-0.095896,-0.027424, 0.7953, 0.9800, 0.3480, 0.1698
   -0.1830,   0.1600, -0.817, 0.284759, 0.009960, 0.004063,-0.098162,-0.027842, 0.7938, 0.9812, 0.3468, 0.2341
   -0.1515,   0.1600, -0.783, 0.290362, 0.009948, 0.003970,-0.099954,-0.028155, 0.7925, 0.9822, 0.3459, 0.3131
   -0.1189,   0.1600, -0.757, 0.294698, 0.009938, 0.003892,-0.101326,-0.028384, 0.7916, 0.9829, 0.3451, 0.4081
   -0.0855,   0.1600, -0.737, 0.297865, 0.009931, 0.003831,-0.102321,-0.028543, 0.7909, 0.9835, 0.3445, 0.5196
   -0.0515,   0.1600, -0.724, 0.299936, 0.009926, 0.003790,-0.102967,-0.028645, 0.7904, 0.9838, 0.3442, 0.6480
   -0.0172,   0.1600, -0.717, 0.300959, 0.009924, 0.003769,-0.103286,-0.028694, 0.7902, 0.9840, 0.3440, 0.7932
    0.0172,   0.1600, -0.717, 0.300959, 0.009924, 0.003769,-0.103286,-0.028694, 0.7902, 0.9840, 0.3440, 0.7932
    0.0515,   0.1600, -0.724, 0.299936, 0.009926, 0.003790,-0.102967,-0.028645, 0.7904, 0.9838, 0.3442, 0.6480
    0.0855,   0.1600, -0.737, 0.297865, 0.009931, 0.003831,-0.102321,-0.028543, 0.7909, 0.9835, 0.3445, 0.5196
    0.1189,   0.1600, -0.757, 0.294698, 0.009938, 0.003892,-0.101326,-0.028384, 0.7916, 0.9829, 0.3451, 0.4081
    0.1515,   0.1600, -0.783, 0.290362, 0.009948, 0.003970,-0.099954,-0.028155, 0.7925, 0.9822, 0.3459, 0.3131
    0.1830,   0.1600, -0.817, 0.284759, 0.009960, 0.004063,-0.098162,-0.027842, 0.7938, 0.9812, 0.3468, 0.2341
    0.2133,   0.1600, -0.859, 0.277767, 0.009976, 0.004166,-0.095896,-0.027424, 0.7953, 0.9800, 0.3480, 0.1698
    0.2421,   0.1600, -0.909, 0.269241, 0.009995, 0.004273,-0.093091,-0.026873, 0.7972, 0.9786, 0.3493, 0.1190
    0.2693,   0.1600, -0.968, 0.259016, 0.010011, 0.004375,-0.089661,-0.026151, 0.7993, 0.9768, 0.3508, 0.0801
    0.2946,   0.1600, -1.035, 0.246911, 0.010027, 0.004459,-0.085513,-0.025211, 0.8017, 0.9746, 0.3524, 0.0515
    0.3179,   0.1600, -1.110, 0.232740, 0.010046, 0.004509,-0.080543,-0.023997, 0.8046, 0.9721, 0.3540, 0.0312
    0.3391,   0.1600, -1.192, 0.216321, 0.010068, 0.004503,-0.074654,-0.022452, 0.8079, 0.9692, 0.3554, 0.0176
    0.3579,   0.1600, -1.281, 0.197506, 0.010085, 0.004416,-0.067785,-0.020534, 0.8115, 0.9658, 0.3565, 0.0091
    0.3743,   0.1600, -1.373, 0.176202, 0.010094, 0.004222,-0.059968,-0.018249, 0.8153, 0.9617, 0.3571, 0.0041
    0.3881,   0.1600, -1.465, 0.152413, 0.010079, 0.003897,-0.051455,-0.015731, 0.8193, 0.9567, 0.3578, 0.0016
    0.3993,   0.1600, -1.553, 0.126274, 0.010061, 0.003424,-0.043002,-0.013408, 0.8237, 0.9513, 0.3609, 0.0005
    0.4078,   0.1600, -1.635, 0.098106, 0.010027, 0.002800,-0.036627,-0.012440, 0.8290, 0.9431, 0.3763, 0.0001
    0.4134,   0.1600, -1.712, 0.068555, 0.009970, 0.002049,-0.037691,-0.015896, 0.8353, 0.9323, 0.4307, 0.0000
    0.4163,   0.1600, -1.788, 0.039947, 0.009892, 0.001247,-0.035008,-0.015239, 0.8420, 0.9188, 0.4417, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.0625
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.0707
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.0637
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0562
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0634
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0726
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0774
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0804
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0861
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0987
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1203
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.1311
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.1502
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.4061
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.1832
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.2489
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2329
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.2096
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1904
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1675
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1372
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.1069
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0880
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.1095
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.1614
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.1612
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.0657
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0420
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0098
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0232
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0529
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0727
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0819
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0868
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0943
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1105
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.1377
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.1354
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.1454
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.5114
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.1775
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.2874
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2726
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2433
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2166
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1822
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1379
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0945
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0611
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.0461
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.0314
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.0073
Strip 3
