xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   3.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.368729
Cy    = ,   0.000000
Cd=,   0.018113,ICd=,    0.008216,PCd=,    0.009896
Cl   = ,2.08408e-16
Cm   =,   -0.115775
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.049637, YCP=,   -0.000000, ZCP=,    0.008766 
XNP=,    0.000000
Bending =,    1.123090

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -2.493, 0.056147, 0.009937, 0.002445,-0.044673,-0.016811, 0.8381, 0.9271, 0.3998, 0.0000
   -0.4134,   0.1600, -2.379, 0.096352, 0.010025, 0.004002,-0.047675,-0.016282, 0.8294, 0.9425, 0.3778, 0.0000
   -0.4078,   0.1600, -2.267, 0.137913, 0.010069, 0.005460,-0.044995,-0.009680, 0.8217, 0.9537, 0.3156, 0.0001
   -0.3993,   0.1600, -2.155, 0.177616, 0.010094, 0.006685,-0.052642,-0.009596, 0.8150, 0.9620, 0.3026, 0.0007
   -0.3881,   0.1600, -2.037, 0.214579, 0.010070, 0.007634,-0.063421,-0.011708, 0.8082, 0.9689, 0.3036, 0.0022
   -0.3743,   0.1600, -1.916, 0.248354, 0.010025, 0.008309,-0.074580,-0.014377, 0.8014, 0.9749, 0.3068, 0.0058
   -0.3579,   0.1600, -1.795, 0.278726, 0.009973, 0.008736,-0.085040,-0.016966, 0.7951, 0.9802, 0.3095, 0.0127
   -0.3391,   0.1600, -1.678, 0.305655, 0.009913, 0.008954,-0.094394,-0.019242, 0.7892, 0.9848, 0.3112, 0.0248
   -0.3179,   0.1600, -1.567, 0.329231, 0.009861, 0.009008,-0.102531,-0.021143, 0.7840, 0.9889, 0.3122, 0.0439
   -0.2946,   0.1600, -1.465, 0.349632, 0.009815, 0.008945,-0.109479,-0.022683, 0.7796, 0.9924, 0.3126, 0.0725
   -0.2693,   0.1600, -1.374, 0.367088, 0.009779, 0.008804,-0.115332,-0.023906, 0.7741, 0.9944, 0.3127, 0.1131
   -0.2421,   0.1600, -1.293, 0.381850, 0.009745, 0.008621,-0.120205,-0.024864, 0.7691, 0.9959, 0.3125, 0.1680
   -0.2133,   0.1600, -1.224, 0.394166, 0.009714, 0.008421,-0.124211,-0.025607, 0.7647, 0.9970, 0.3122, 0.2398
   -0.1830,   0.1600, -1.165, 0.404269, 0.009690, 0.008224,-0.127457,-0.026178, 0.7610, 0.9978, 0.3119, 0.3308
   -0.1515,   0.1600, -1.118, 0.412367, 0.009676, 0.008044,-0.130029,-0.026609, 0.7577, 0.9983, 0.3116, 0.4427
   -0.1189,   0.1600, -1.080, 0.418632, 0.009666, 0.007891,-0.132003,-0.026926, 0.7551, 0.9986, 0.3114, 0.5772
   -0.0855,   0.1600, -1.052, 0.423208, 0.009658, 0.007771,-0.133434,-0.027148, 0.7533, 0.9989, 0.3111, 0.7352
   -0.0515,   0.1600, -1.034, 0.426200, 0.009654, 0.007690,-0.134366,-0.027289, 0.7520, 0.9991, 0.3110, 0.9173
   -0.0172,   0.1600, -1.024, 0.427678, 0.009651, 0.007648,-0.134825,-0.027358, 0.7514, 0.9991, 0.3109, 1.1231
    0.0172,   0.1600, -1.024, 0.427678, 0.009651, 0.007648,-0.134825,-0.027358, 0.7514, 0.9991, 0.3109, 1.1231
    0.0515,   0.1600, -1.034, 0.426200, 0.009654, 0.007690,-0.134366,-0.027289, 0.7520, 0.9991, 0.3110, 0.9173
    0.0855,   0.1600, -1.052, 0.423208, 0.009658, 0.007771,-0.133434,-0.027148, 0.7533, 0.9989, 0.3111, 0.7352
    0.1189,   0.1600, -1.080, 0.418632, 0.009666, 0.007891,-0.132003,-0.026926, 0.7551, 0.9986, 0.3114, 0.5772
    0.1515,   0.1600, -1.118, 0.412367, 0.009676, 0.008044,-0.130029,-0.026609, 0.7577, 0.9983, 0.3116, 0.4427
    0.1830,   0.1600, -1.165, 0.404269, 0.009690, 0.008224,-0.127457,-0.026178, 0.7610, 0.9978, 0.3119, 0.3308
    0.2133,   0.1600, -1.224, 0.394166, 0.009714, 0.008421,-0.124211,-0.025607, 0.7647, 0.9970, 0.3122, 0.2398
    0.2421,   0.1600, -1.293, 0.381850, 0.009745, 0.008621,-0.120205,-0.024864, 0.7691, 0.9959, 0.3125, 0.1680
    0.2693,   0.1600, -1.374, 0.367088, 0.009779, 0.008804,-0.115332,-0.023906, 0.7741, 0.9944, 0.3127, 0.1131
    0.2946,   0.1600, -1.465, 0.349632, 0.009815, 0.008945,-0.109479,-0.022683, 0.7796, 0.9924, 0.3126, 0.0725
    0.3179,   0.1600, -1.567, 0.329231, 0.009861, 0.009008,-0.102531,-0.021143, 0.7840, 0.9889, 0.3122, 0.0439
    0.3391,   0.1600, -1.678, 0.305655, 0.009913, 0.008954,-0.094394,-0.019242, 0.7892, 0.9848, 0.3112, 0.0248
    0.3579,   0.1600, -1.795, 0.278726, 0.009973, 0.008736,-0.085040,-0.016966, 0.7951, 0.9802, 0.3095, 0.0127
    0.3743,   0.1600, -1.916, 0.248354, 0.010025, 0.008309,-0.074580,-0.014377, 0.8014, 0.9749, 0.3068, 0.0058
    0.3881,   0.1600, -2.037, 0.214579, 0.010070, 0.007634,-0.063421,-0.011708, 0.8082, 0.9689, 0.3036, 0.0022
    0.3993,   0.1600, -2.155, 0.177616, 0.010094, 0.006685,-0.052642,-0.009596, 0.8150, 0.9620, 0.3026, 0.0007
    0.4078,   0.1600, -2.267, 0.137913, 0.010069, 0.005460,-0.044995,-0.009680, 0.8217, 0.9537, 0.3156, 0.0001
    0.4134,   0.1600, -2.379, 0.096352, 0.010025, 0.004002,-0.047675,-0.016282, 0.8294, 0.9425, 0.3778, 0.0000
    0.4163,   0.1600, -2.493, 0.056147, 0.009937, 0.002445,-0.044673,-0.016811, 0.8381, 0.9271, 0.3998, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.2550
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.2439
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.1736
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.1116
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0920
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0879
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0845
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0810
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0803
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0842
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.0905
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.0653
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.2844
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.2826
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.2601
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.2908
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2604
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.2316
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.2112
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1899
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1643
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.1447
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.1525
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.2381
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.3742
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.3993
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,     -0.0292
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -0.0441
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.0494
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0587
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0741
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0841
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0857
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0837
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0837
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0893
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.0971
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.0487
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.3265
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.3518
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.2769
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.3412
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.3059
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2671
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2360
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.2005
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1584
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.1229
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.1081
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.1282
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.1497
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.1354
Strip 3
