xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -0.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.077703
Cy    = ,   0.000000
Cd=,   0.010485,ICd=,    0.000370,PCd=,    0.010115
Cl   = ,-1.25884e-16
Cm   =,  -0.0461162
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.095290, YCP=,    0.000000, ZCP=,    0.032202 
XNP=,    0.000000
Bending =,    0.240054

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -0.608, 0.012782, 0.009814, 0.000136,-0.018858,-0.012644, 0.8487, 0.9038, 0.7558, 0.0000
   -0.4134,   0.1600, -0.598, 0.021944, 0.009841, 0.000229,-0.020960,-0.015221, 0.8465, 0.9088, 0.9103, 0.0000
   -0.4078,   0.1600, -0.578, 0.031352, 0.009867, 0.000316,-0.022579,-0.016982, 0.8441, 0.9140, 1.0070, 0.0000
   -0.3993,   0.1600, -0.547, 0.040179, 0.009892, 0.000383,-0.026822,-0.019684, 0.8420, 0.9189, 0.9393, 0.0002
   -0.3881,   0.1600, -0.507, 0.048169, 0.009915, 0.000427,-0.031382,-0.022345, 0.8400, 0.9233, 0.8688, 0.0005
   -0.3743,   0.1600, -0.465, 0.055216, 0.009935, 0.000448,-0.035466,-0.024599, 0.8383, 0.9267, 0.8169, 0.0013
   -0.3579,   0.1600, -0.422, 0.061317, 0.009951, 0.000451,-0.038859,-0.026363, 0.8369, 0.9293, 0.7785, 0.0029
   -0.3391,   0.1600, -0.381, 0.066530, 0.009965, 0.000443,-0.041573,-0.027675, 0.8358, 0.9315, 0.7489, 0.0056
   -0.3179,   0.1600, -0.346, 0.070949, 0.009977, 0.000428,-0.043703,-0.028618, 0.8348, 0.9333, 0.7253, 0.0098
   -0.2946,   0.1600, -0.315, 0.074679, 0.009986, 0.000410,-0.045366,-0.029282, 0.8339, 0.9349, 0.7061, 0.0161
   -0.2693,   0.1600, -0.289, 0.077813, 0.009995, 0.000392,-0.046665,-0.029745, 0.8332, 0.9362, 0.6904, 0.0249
   -0.2421,   0.1600, -0.268, 0.080433, 0.010002, 0.000376,-0.047684,-0.030068, 0.8326, 0.9373, 0.6776, 0.0369
   -0.2133,   0.1600, -0.250, 0.082605, 0.010005, 0.000361,-0.048486,-0.030295, 0.8322, 0.9380, 0.6671, 0.0524
   -0.1830,   0.1600, -0.236, 0.084382, 0.010008, 0.000348,-0.049116,-0.030455, 0.8318, 0.9386, 0.6587, 0.0719
   -0.1515,   0.1600, -0.225, 0.085805, 0.010010, 0.000337,-0.049605,-0.030568, 0.8315, 0.9391, 0.6521, 0.0958
   -0.1189,   0.1600, -0.217, 0.086907, 0.010011, 0.000329,-0.049974,-0.030648, 0.8313, 0.9394, 0.6471, 0.1245
   -0.0855,   0.1600, -0.211, 0.087712, 0.010013, 0.000322,-0.050240,-0.030702, 0.8311, 0.9397, 0.6435, 0.1580
   -0.0515,   0.1600, -0.207, 0.088239, 0.010013, 0.000318,-0.050412,-0.030735, 0.8310, 0.9399, 0.6411, 0.1966
   -0.0172,   0.1600, -0.205, 0.088498, 0.010014, 0.000316,-0.050496,-0.030751, 0.8310, 0.9399, 0.6400, 0.2401
    0.0172,   0.1600, -0.205, 0.088498, 0.010014, 0.000316,-0.050496,-0.030751, 0.8310, 0.9399, 0.6400, 0.2401
    0.0515,   0.1600, -0.207, 0.088239, 0.010013, 0.000318,-0.050412,-0.030735, 0.8310, 0.9399, 0.6411, 0.1966
    0.0855,   0.1600, -0.211, 0.087712, 0.010013, 0.000322,-0.050240,-0.030702, 0.8311, 0.9397, 0.6435, 0.1580
    0.1189,   0.1600, -0.217, 0.086907, 0.010011, 0.000329,-0.049974,-0.030648, 0.8313, 0.9394, 0.6471, 0.1245
    0.1515,   0.1600, -0.225, 0.085805, 0.010010, 0.000337,-0.049605,-0.030568, 0.8315, 0.9391, 0.6521, 0.0958
    0.1830,   0.1600, -0.236, 0.084382, 0.010008, 0.000348,-0.049116,-0.030455, 0.8318, 0.9386, 0.6587, 0.0719
    0.2133,   0.1600, -0.250, 0.082605, 0.010005, 0.000361,-0.048486,-0.030295, 0.8322, 0.9380, 0.6671, 0.0524
    0.2421,   0.1600, -0.268, 0.080433, 0.010002, 0.000376,-0.047684,-0.030068, 0.8326, 0.9373, 0.6776, 0.0369
    0.2693,   0.1600, -0.289, 0.077813, 0.009995, 0.000392,-0.046665,-0.029745, 0.8332, 0.9362, 0.6904, 0.0249
    0.2946,   0.1600, -0.315, 0.074679, 0.009986, 0.000410,-0.045366,-0.029282, 0.8339, 0.9349, 0.7061, 0.0161
    0.3179,   0.1600, -0.346, 0.070949, 0.009977, 0.000428,-0.043703,-0.028618, 0.8348, 0.9333, 0.7253, 0.0098
    0.3391,   0.1600, -0.381, 0.066530, 0.009965, 0.000443,-0.041573,-0.027675, 0.8358, 0.9315, 0.7489, 0.0056
    0.3579,   0.1600, -0.422, 0.061317, 0.009951, 0.000451,-0.038859,-0.026363, 0.8369, 0.9293, 0.7785, 0.0029
    0.3743,   0.1600, -0.465, 0.055216, 0.009935, 0.000448,-0.035466,-0.024599, 0.8383, 0.9267, 0.8169, 0.0013
    0.3881,   0.1600, -0.507, 0.048169, 0.009915, 0.000427,-0.031382,-0.022345, 0.8400, 0.9233, 0.8688, 0.0005
    0.3993,   0.1600, -0.547, 0.040179, 0.009892, 0.000383,-0.026822,-0.019684, 0.8420, 0.9189, 0.9393, 0.0002
    0.4078,   0.1600, -0.578, 0.031352, 0.009867, 0.000316,-0.022579,-0.016982, 0.8441, 0.9140, 1.0070, 0.0000
    0.4134,   0.1600, -0.598, 0.021944, 0.009841, 0.000229,-0.020960,-0.015221, 0.8465, 0.9088, 0.9103, 0.0000
    0.4163,   0.1600, -0.608, 0.012782, 0.009814, 0.000136,-0.018858,-0.012644, 0.8487, 0.9038, 0.7558, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0990
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0739
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,      0.0302
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0094
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0415
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0644
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0787
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0900
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1048
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1303
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1769
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.2510
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.1098
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.5710
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.0655
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1854
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1936
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1807
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1653
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1424
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1088
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0694
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0257
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,      0.0148
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0468
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.0707
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1415
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.1095
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0552
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,      0.0045
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0371
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0670
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0855
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0996
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1182
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1509
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.2103
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.2901
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.2106
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.7162
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.0230
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.2025
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2213
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2088
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1908
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1608
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1163
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0665
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0142
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0370
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.0882
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1212
Strip 3
