xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -2.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,  -0.068284
Cy    = ,   0.000000
Cd=,   0.009998,ICd=,    0.000277,PCd=,    0.009721
Cl   = ,-2.87209e-16
Cm   =,  -0.0112407
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,   -0.028058, YCP=,   -0.000000, ZCP=,   -0.031902 
XNP=,    0.000000
Bending =,   -0.203014

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600,  0.337,-0.008980, 0.009746, 0.000053,-0.005970,-0.010602, 0.8551, 0.8861,-0.3438, 0.0000
   -0.4134,   0.1600,  0.295,-0.015397, 0.009725, 0.000079,-0.007566,-0.014654, 0.8572, 0.8798,-0.2830,-0.0000
   -0.4078,   0.1600,  0.269,-0.022124, 0.009704, 0.000104,-0.011313,-0.020542, 0.8594, 0.8731,-0.3224,-0.0000
   -0.3993,   0.1600,  0.260,-0.028790, 0.009683, 0.000131,-0.013849,-0.024608, 0.8615, 0.8665,-0.3373,-0.0001
   -0.3881,   0.1600,  0.259,-0.035339, 0.009662, 0.000160,-0.015298,-0.027525, 0.8636, 0.8600,-0.3275,-0.0004
   -0.3743,   0.1600,  0.263,-0.041701, 0.009642, 0.000191,-0.015843,-0.029557, 0.8657, 0.8537,-0.3025,-0.0009
   -0.3579,   0.1600,  0.267,-0.047778, 0.009626, 0.000222,-0.015701,-0.030897, 0.8677, 0.8465,-0.2710,-0.0021
   -0.3391,   0.1600,  0.268,-0.053459, 0.009617, 0.000250,-0.015096,-0.031717, 0.8697, 0.8376,-0.2388,-0.0041
   -0.3179,   0.1600,  0.267,-0.058648, 0.009609, 0.000273,-0.014226,-0.032173, 0.8716, 0.8295,-0.2092,-0.0073
   -0.2946,   0.1600,  0.262,-0.063281, 0.009603, 0.000289,-0.013250,-0.032393, 0.8732, 0.8223,-0.1834,-0.0122
   -0.2693,   0.1600,  0.255,-0.067330, 0.009597, 0.000299,-0.012277,-0.032471, 0.8746, 0.8160,-0.1618,-0.0193
   -0.2421,   0.1600,  0.246,-0.070799, 0.009591, 0.000304,-0.011374,-0.032472, 0.8759, 0.8106,-0.1443,-0.0290
   -0.2133,   0.1600,  0.237,-0.073714, 0.009587, 0.000305,-0.010579,-0.032437, 0.8769, 0.8060,-0.1302,-0.0417
   -0.1830,   0.1600,  0.229,-0.076114, 0.009583, 0.000304,-0.009906,-0.032389, 0.8777, 0.8023,-0.1191,-0.0580
   -0.1515,   0.1600,  0.222,-0.078038, 0.009581, 0.000302,-0.009356,-0.032341, 0.8784, 0.7993,-0.1105,-0.0782
   -0.1189,   0.1600,  0.216,-0.079527, 0.009578, 0.000299,-0.008927,-0.032300, 0.8789, 0.7970,-0.1041,-0.1027
   -0.0855,   0.1600,  0.211,-0.080612, 0.009577, 0.000297,-0.008612,-0.032268, 0.8793, 0.7953,-0.0995,-0.1316
   -0.0515,   0.1600,  0.208,-0.081322, 0.009576, 0.000295,-0.008405,-0.032246, 0.8796, 0.7942,-0.0966,-0.1650
   -0.0172,   0.1600,  0.206,-0.081674, 0.009575, 0.000294,-0.008303,-0.032235, 0.8797, 0.7936,-0.0951,-0.2030
    0.0172,   0.1600,  0.206,-0.081674, 0.009575, 0.000294,-0.008303,-0.032235, 0.8797, 0.7936,-0.0951,-0.2030
    0.0515,   0.1600,  0.208,-0.081322, 0.009576, 0.000295,-0.008405,-0.032246, 0.8796, 0.7942,-0.0966,-0.1650
    0.0855,   0.1600,  0.211,-0.080612, 0.009577, 0.000297,-0.008612,-0.032268, 0.8793, 0.7953,-0.0995,-0.1316
    0.1189,   0.1600,  0.216,-0.079527, 0.009578, 0.000299,-0.008927,-0.032300, 0.8789, 0.7970,-0.1041,-0.1027
    0.1515,   0.1600,  0.222,-0.078038, 0.009581, 0.000302,-0.009356,-0.032341, 0.8784, 0.7993,-0.1105,-0.0782
    0.1830,   0.1600,  0.229,-0.076114, 0.009583, 0.000304,-0.009906,-0.032389, 0.8777, 0.8023,-0.1191,-0.0580
    0.2133,   0.1600,  0.237,-0.073714, 0.009587, 0.000305,-0.010579,-0.032437, 0.8769, 0.8060,-0.1302,-0.0417
    0.2421,   0.1600,  0.246,-0.070799, 0.009591, 0.000304,-0.011374,-0.032472, 0.8759, 0.8106,-0.1443,-0.0290
    0.2693,   0.1600,  0.255,-0.067330, 0.009597, 0.000299,-0.012277,-0.032471, 0.8746, 0.8160,-0.1618,-0.0193
    0.2946,   0.1600,  0.262,-0.063281, 0.009603, 0.000289,-0.013250,-0.032393, 0.8732, 0.8223,-0.1834,-0.0122
    0.3179,   0.1600,  0.267,-0.058648, 0.009609, 0.000273,-0.014226,-0.032173, 0.8716, 0.8295,-0.2092,-0.0073
    0.3391,   0.1600,  0.268,-0.053459, 0.009617, 0.000250,-0.015096,-0.031717, 0.8697, 0.8376,-0.2388,-0.0041
    0.3579,   0.1600,  0.267,-0.047778, 0.009626, 0.000222,-0.015701,-0.030897, 0.8677, 0.8465,-0.2710,-0.0021
    0.3743,   0.1600,  0.263,-0.041701, 0.009642, 0.000191,-0.015843,-0.029557, 0.8657, 0.8537,-0.3025,-0.0009
    0.3881,   0.1600,  0.259,-0.035339, 0.009662, 0.000160,-0.015298,-0.027525, 0.8636, 0.8600,-0.3275,-0.0004
    0.3993,   0.1600,  0.260,-0.028790, 0.009683, 0.000131,-0.013849,-0.024608, 0.8615, 0.8665,-0.3373,-0.0001
    0.4078,   0.1600,  0.269,-0.022124, 0.009704, 0.000104,-0.011313,-0.020542, 0.8594, 0.8731,-0.3224,-0.0000
    0.4134,   0.1600,  0.295,-0.015397, 0.009725, 0.000079,-0.007566,-0.014654, 0.8572, 0.8798,-0.2830,-0.0000
    0.4163,   0.1600,  0.337,-0.008980, 0.009746, 0.000053,-0.005970,-0.010602, 0.8551, 0.8861,-0.3438, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0841
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0593
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,      0.0243
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0130
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0474
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0735
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0916
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1071
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1276
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1623
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.2281
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.3554
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.3492
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.6652
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,      0.0186
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1406
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1682
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1647
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1539
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1334
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1012
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0624
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0170
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,      0.0325
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0806
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.1068
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1280
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0946
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0435
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0019
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0421
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0743
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0971
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1167
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1428
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1876
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.2724
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.4222
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.5425
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.8241
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,      0.0900
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.1390
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.1843
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.1860
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1763
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1517
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1106
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0614
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0052
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0550
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.1135
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1469
Strip 3
