xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -3.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,  -0.141202
Cy    = ,   0.000000
Cd=,   0.011849,ICd=,    0.001190,PCd=,    0.010659
Cl   = ,-3.75468e-16
Cm   =,  0.00615081
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.005802, YCP=,   -0.000000, ZCP=,   -0.014360 
XNP=,    0.000000
Bending =,   -0.423992

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600,  0.809,-0.019834, 0.009711, 0.000280, 0.000441,-0.009596, 0.8586, 0.8754, 0.0021, 0.0000
   -0.4134,   0.1600,  0.741,-0.034022, 0.009666, 0.000440,-0.000889,-0.014363, 0.8632, 0.8613,-0.0255,-0.0000
   -0.4078,   0.1600,  0.693,-0.048797, 0.009624, 0.000590,-0.005689,-0.022292, 0.8681, 0.8449,-0.0957,-0.0000
   -0.3993,   0.1600,  0.663,-0.063191, 0.009603, 0.000731,-0.007374,-0.027030, 0.8732, 0.8224,-0.1035,-0.0002
   -0.3881,   0.1600,  0.643,-0.076991, 0.009582, 0.000864,-0.007274,-0.030068, 0.8780, 0.8009,-0.0889,-0.0008
   -0.3743,   0.1600,  0.627,-0.090041, 0.009563, 0.000985,-0.006056,-0.031986, 0.8827, 0.7806,-0.0668,-0.0021
   -0.3579,   0.1600,  0.611,-0.102190, 0.009628, 0.001089,-0.004153,-0.033112, 0.8873, 0.7413,-0.0437,-0.0046
   -0.3391,   0.1600,  0.593,-0.113304, 0.009705, 0.001173,-0.001895,-0.033686, 0.8917, 0.7012,-0.0222,-0.0089
   -0.3179,   0.1600,  0.572,-0.123285, 0.009774, 0.001232, 0.000470,-0.033898, 0.8956, 0.6652,-0.0035,-0.0159
   -0.2946,   0.1600,  0.550,-0.132087, 0.009836, 0.001268, 0.002760,-0.033895, 0.8990, 0.6335, 0.0122,-0.0264
   -0.2693,   0.1600,  0.526,-0.139718, 0.010060, 0.001283, 0.004867,-0.033780, 0.9025, 0.5796, 0.0251,-0.0414
   -0.2421,   0.1600,  0.503,-0.146224, 0.010371, 0.001284, 0.006730,-0.033619, 0.9058, 0.5151, 0.0355,-0.0618
   -0.2133,   0.1600,  0.481,-0.151676, 0.010632, 0.001274, 0.008323,-0.033452, 0.9085, 0.4611, 0.0438,-0.0886
   -0.1830,   0.1600,  0.462,-0.156158, 0.010846, 0.001258, 0.009648,-0.033300, 0.9108, 0.4166, 0.0503,-0.1228
   -0.1515,   0.1600,  0.445,-0.159752, 0.011018, 0.001241, 0.010716,-0.033172, 0.9126, 0.3810, 0.0552,-0.1650
   -0.1189,   0.1600,  0.432,-0.162531, 0.011151, 0.001224, 0.011544,-0.033070, 0.9140, 0.3534, 0.0589,-0.2160
   -0.0855,   0.1600,  0.421,-0.164560, 0.011248, 0.001210, 0.012149,-0.032995, 0.9150, 0.3333, 0.0616,-0.2760
   -0.0515,   0.1600,  0.415,-0.165886, 0.011311, 0.001200, 0.012545,-0.032946, 0.9157, 0.3202, 0.0633,-0.3454
   -0.0172,   0.1600,  0.411,-0.166542, 0.011343, 0.001195, 0.012741,-0.032921, 0.9160, 0.3137, 0.0641,-0.4240
    0.0172,   0.1600,  0.411,-0.166542, 0.011343, 0.001195, 0.012741,-0.032921, 0.9160, 0.3137, 0.0641,-0.4240
    0.0515,   0.1600,  0.415,-0.165886, 0.011311, 0.001200, 0.012545,-0.032946, 0.9157, 0.3202, 0.0633,-0.3454
    0.0855,   0.1600,  0.421,-0.164560, 0.011248, 0.001210, 0.012149,-0.032995, 0.9150, 0.3333, 0.0616,-0.2760
    0.1189,   0.1600,  0.432,-0.162531, 0.011151, 0.001224, 0.011544,-0.033070, 0.9140, 0.3534, 0.0589,-0.2160
    0.1515,   0.1600,  0.445,-0.159752, 0.011018, 0.001241, 0.010716,-0.033172, 0.9126, 0.3810, 0.0552,-0.1650
    0.1830,   0.1600,  0.462,-0.156158, 0.010846, 0.001258, 0.009648,-0.033300, 0.9108, 0.4166, 0.0503,-0.1228
    0.2133,   0.1600,  0.481,-0.151676, 0.010632, 0.001274, 0.008323,-0.033452, 0.9085, 0.4611, 0.0438,-0.0886
    0.2421,   0.1600,  0.503,-0.146224, 0.010371, 0.001284, 0.006730,-0.033619, 0.9058, 0.5151, 0.0355,-0.0618
    0.2693,   0.1600,  0.526,-0.139718, 0.010060, 0.001283, 0.004867,-0.033780, 0.9025, 0.5796, 0.0251,-0.0414
    0.2946,   0.1600,  0.550,-0.132087, 0.009836, 0.001268, 0.002760,-0.033895, 0.8990, 0.6335, 0.0122,-0.0264
    0.3179,   0.1600,  0.572,-0.123285, 0.009774, 0.001232, 0.000470,-0.033898, 0.8956, 0.6652,-0.0035,-0.0159
    0.3391,   0.1600,  0.593,-0.113304, 0.009705, 0.001173,-0.001895,-0.033686, 0.8917, 0.7012,-0.0222,-0.0089
    0.3579,   0.1600,  0.611,-0.102190, 0.009628, 0.001089,-0.004153,-0.033112, 0.8873, 0.7413,-0.0437,-0.0046
    0.3743,   0.1600,  0.627,-0.090041, 0.009563, 0.000985,-0.006056,-0.031986, 0.8827, 0.7806,-0.0668,-0.0021
    0.3881,   0.1600,  0.643,-0.076991, 0.009582, 0.000864,-0.007274,-0.030068, 0.8780, 0.8009,-0.0889,-0.0008
    0.3993,   0.1600,  0.663,-0.063191, 0.009603, 0.000731,-0.007374,-0.027030, 0.8732, 0.8224,-0.1035,-0.0002
    0.4078,   0.1600,  0.693,-0.048797, 0.009624, 0.000590,-0.005689,-0.022292, 0.8681, 0.8449,-0.0957,-0.0000
    0.4134,   0.1600,  0.741,-0.034022, 0.009666, 0.000440,-0.000889,-0.014363, 0.8632, 0.8613,-0.0255,-0.0000
    0.4163,   0.1600,  0.809,-0.019834, 0.009711, 0.000280, 0.000441,-0.009596, 0.8586, 0.8754, 0.0021, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0286
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0087
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.0056
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0285
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0581
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0833
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.1019
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1189
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1416
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1804
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.2556
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.4103
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.4791
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.6997
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,      0.0572
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1202
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1576
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1591
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1512
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1326
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1024
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0666
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0264
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,      0.0142
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0531
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.0749
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.0964
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0643
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0217
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0146
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0505
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0819
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.1058
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1275
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1568
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.2074
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.3047
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.4909
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.7236
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.8592
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,      0.1427
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.1089
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.1672
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.1762
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1711
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1500
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1116
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0647
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0103
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0477
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.1026
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1339
Strip 3
