xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  -4.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,  -0.177617
Cy    = ,   0.000000
Cd=,   0.014005,ICd=,    0.001886,PCd=,    0.012119
Cl   = ,-4.26108e-16
Cm   =,    0.014843
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.012286, YCP=,   -0.000000, ZCP=,   -0.011008 
XNP=,    0.000000
Bending =,   -0.534223

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600,  1.045,-0.025249, 0.009694, 0.000461, 0.003636,-0.009098, 0.8604, 0.8700, 0.0640, 0.0000
   -0.4134,   0.1600,  0.964,-0.043313, 0.009637, 0.000729, 0.002441,-0.014216, 0.8662, 0.8521, 0.0289,-0.0000
   -0.4078,   0.1600,  0.904,-0.062103, 0.009604, 0.000980,-0.002881,-0.023158, 0.8728, 0.8241,-0.0445,-0.0001
   -0.3993,   0.1600,  0.864,-0.080352, 0.009577, 0.001212,-0.004143,-0.028229, 0.8792, 0.7957,-0.0516,-0.0003
   -0.3881,   0.1600,  0.834,-0.097769, 0.009597, 0.001424,-0.003270,-0.031328, 0.8856, 0.7573,-0.0372,-0.0010
   -0.3743,   0.1600,  0.808,-0.114155, 0.009711, 0.001611,-0.001170,-0.033188, 0.8920, 0.6981,-0.0166,-0.0026
   -0.3579,   0.1600,  0.783,-0.129334, 0.009816, 0.001767, 0.001610,-0.034206, 0.8980, 0.6434, 0.0043,-0.0058
   -0.3391,   0.1600,  0.755,-0.143157, 0.010224, 0.001887, 0.004699,-0.034656, 0.9042, 0.5455, 0.0233,-0.0113
   -0.3179,   0.1600,  0.725,-0.155528, 0.010816, 0.001969, 0.007817,-0.034745, 0.9105, 0.4229, 0.0397,-0.0201
   -0.2946,   0.1600,  0.694,-0.166410, 0.011336, 0.002015, 0.010769,-0.034632, 0.9160, 0.3150, 0.0533,-0.0334
   -0.2693,   0.1600,  0.662,-0.175828, 0.011765, 0.002032, 0.013443,-0.034420, 0.9202, 0.2466, 0.0645,-0.0524
   -0.2421,   0.1600,  0.631,-0.183848, 0.012133, 0.002026, 0.015784,-0.034178, 0.9233, 0.2102, 0.0734,-0.0782
   -0.2133,   0.1600,  0.603,-0.190566, 0.012441, 0.002006, 0.017774,-0.033946, 0.9258, 0.1796, 0.0805,-0.1120
   -0.1830,   0.1600,  0.578,-0.196086, 0.012694, 0.001978, 0.019422,-0.033742, 0.9279, 0.1546, 0.0860,-0.1551
   -0.1515,   0.1600,  0.557,-0.200513, 0.012896, 0.001948, 0.020748,-0.033573, 0.9296, 0.1344, 0.0902,-0.2083
   -0.1189,   0.1600,  0.540,-0.203936, 0.013053, 0.001921, 0.021775,-0.033441, 0.9309, 0.1189, 0.0934,-0.2725
   -0.0855,   0.1600,  0.527,-0.206435, 0.013168, 0.001898, 0.022524,-0.033344, 0.9318, 0.1075, 0.0956,-0.3481
   -0.0515,   0.1600,  0.518,-0.208069, 0.013243, 0.001881, 0.023013,-0.033281, 0.9325, 0.1001, 0.0970,-0.4354
   -0.0172,   0.1600,  0.514,-0.208877, 0.013280, 0.001873, 0.023255,-0.033250, 0.9328, 0.0964, 0.0978,-0.5342
    0.0172,   0.1600,  0.514,-0.208877, 0.013280, 0.001873, 0.023255,-0.033250, 0.9328, 0.0964, 0.0978,-0.5342
    0.0515,   0.1600,  0.518,-0.208069, 0.013243, 0.001881, 0.023013,-0.033281, 0.9325, 0.1001, 0.0970,-0.4354
    0.0855,   0.1600,  0.527,-0.206435, 0.013168, 0.001898, 0.022524,-0.033344, 0.9318, 0.1075, 0.0956,-0.3481
    0.1189,   0.1600,  0.540,-0.203936, 0.013053, 0.001921, 0.021775,-0.033441, 0.9309, 0.1189, 0.0934,-0.2725
    0.1515,   0.1600,  0.557,-0.200513, 0.012896, 0.001948, 0.020748,-0.033573, 0.9296, 0.1344, 0.0902,-0.2083
    0.1830,   0.1600,  0.578,-0.196086, 0.012694, 0.001978, 0.019422,-0.033742, 0.9279, 0.1546, 0.0860,-0.1551
    0.2133,   0.1600,  0.603,-0.190566, 0.012441, 0.002006, 0.017774,-0.033946, 0.9258, 0.1796, 0.0805,-0.1120
    0.2421,   0.1600,  0.631,-0.183848, 0.012133, 0.002026, 0.015784,-0.034178, 0.9233, 0.2102, 0.0734,-0.0782
    0.2693,   0.1600,  0.662,-0.175828, 0.011765, 0.002032, 0.013443,-0.034420, 0.9202, 0.2466, 0.0645,-0.0524
    0.2946,   0.1600,  0.694,-0.166410, 0.011336, 0.002015, 0.010769,-0.034632, 0.9160, 0.3150, 0.0533,-0.0334
    0.3179,   0.1600,  0.725,-0.155528, 0.010816, 0.001969, 0.007817,-0.034745, 0.9105, 0.4229, 0.0397,-0.0201
    0.3391,   0.1600,  0.755,-0.143157, 0.010224, 0.001887, 0.004699,-0.034656, 0.9042, 0.5455, 0.0233,-0.0113
    0.3579,   0.1600,  0.783,-0.129334, 0.009816, 0.001767, 0.001610,-0.034206, 0.8980, 0.6434, 0.0043,-0.0058
    0.3743,   0.1600,  0.808,-0.114155, 0.009711, 0.001611,-0.001170,-0.033188, 0.8920, 0.6981,-0.0166,-0.0026
    0.3881,   0.1600,  0.834,-0.097769, 0.009597, 0.001424,-0.003270,-0.031328, 0.8856, 0.7573,-0.0372,-0.0010
    0.3993,   0.1600,  0.864,-0.080352, 0.009577, 0.001212,-0.004143,-0.028229, 0.8792, 0.7957,-0.0516,-0.0003
    0.4078,   0.1600,  0.904,-0.062103, 0.009604, 0.000980,-0.002881,-0.023158, 0.8728, 0.8241,-0.0445,-0.0001
    0.4134,   0.1600,  0.964,-0.043313, 0.009637, 0.000729, 0.002441,-0.014216, 0.8662, 0.8521, 0.0289,-0.0000
    0.4163,   0.1600,  1.045,-0.025249, 0.009694, 0.000461, 0.003636,-0.009098, 0.8604, 0.8700, 0.0640, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.0112
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.0275
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.0273
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0396
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0654
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0895
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.1081
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1255
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1492
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1900
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.2698
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.4383
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.5464
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.7137
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,      0.0756
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1106
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.1528
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1570
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1505
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1332
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1043
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0706
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0345
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.0018
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0283
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.0465
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.0744
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0434
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0068
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0233
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0561
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0867
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.1109
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1335
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1643
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.2176
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.3212
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.5258
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.8178
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.8720
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,      0.1680
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.0942
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.1590
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.1717
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1690
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1497
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1130
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0678
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0152
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0400
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.0912
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1210
Strip 3
