xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   0.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.114191
Cy    = ,   0.000000
Cd=,   0.010963,ICd=,    0.000794,PCd=,    0.010169
Cl   = ,-7.66553e-17
Cm   =,  -0.0548465
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.076856, YCP=,    0.000000, ZCP=,    0.022660 
XNP=,    0.000000
Bending =,    0.350857

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -0.844, 0.018224, 0.009830, 0.000269,-0.022088,-0.013160, 0.8474, 0.9068, 0.6170, 0.0000
   -0.4134,   0.1600, -0.821, 0.031281, 0.009867, 0.000448,-0.024311,-0.015359, 0.8442, 0.9140, 0.6778, 0.0000
   -0.4078,   0.1600, -0.789, 0.044725, 0.009905, 0.000616,-0.025395,-0.016081, 0.8408, 0.9214, 0.6811, 0.0000
   -0.3993,   0.1600, -0.748, 0.057426, 0.009940, 0.000750,-0.030065,-0.018438, 0.8378, 0.9276, 0.6462, 0.0002
   -0.3881,   0.1600, -0.699, 0.069051, 0.009971, 0.000843,-0.035404,-0.021033, 0.8352, 0.9325, 0.6158, 0.0007
   -0.3743,   0.1600, -0.646, 0.079453, 0.009999, 0.000896,-0.040374,-0.023341, 0.8328, 0.9369, 0.5926, 0.0019
   -0.3579,   0.1600, -0.594, 0.088598, 0.010014, 0.000918,-0.044652,-0.025211, 0.8310, 0.9400, 0.5742, 0.0041
   -0.3391,   0.1600, -0.544, 0.096536, 0.010025, 0.000916,-0.048197,-0.026645, 0.8294, 0.9426, 0.5590, 0.0080
   -0.3179,   0.1600, -0.499, 0.103359, 0.010035, 0.000899,-0.051080,-0.027709, 0.8280, 0.9448, 0.5463, 0.0141
   -0.2946,   0.1600, -0.459, 0.109180, 0.010043, 0.000874,-0.053404,-0.028483, 0.8268, 0.9467, 0.5356, 0.0232
   -0.2693,   0.1600, -0.425, 0.114110, 0.010050, 0.000846,-0.055273,-0.029042, 0.8258, 0.9483, 0.5266, 0.0360
   -0.2421,   0.1600, -0.396, 0.118254, 0.010055, 0.000817,-0.056774,-0.029445, 0.8250, 0.9496, 0.5191, 0.0533
   -0.2133,   0.1600, -0.372, 0.121699, 0.010058, 0.000790,-0.057976,-0.029737, 0.8244, 0.9503, 0.5129, 0.0759
   -0.1830,   0.1600, -0.353, 0.124520, 0.010060, 0.000766,-0.058933,-0.029949, 0.8239, 0.9509, 0.5079, 0.1044
   -0.1515,   0.1600, -0.337, 0.126780, 0.010061, 0.000745,-0.059682,-0.030103, 0.8236, 0.9514, 0.5040, 0.1394
   -0.1189,   0.1600, -0.325, 0.128530, 0.010063, 0.000729,-0.060252,-0.030212, 0.8233, 0.9517, 0.5010, 0.1813
   -0.0855,   0.1600, -0.316, 0.129808, 0.010063, 0.000716,-0.060663,-0.030287, 0.8231, 0.9520, 0.4988, 0.2305
   -0.0515,   0.1600, -0.310, 0.130644, 0.010064, 0.000707,-0.060930,-0.030334, 0.8229, 0.9522, 0.4974, 0.2870
   -0.0172,   0.1600, -0.307, 0.131056, 0.010064, 0.000703,-0.061060,-0.030357, 0.8229, 0.9523, 0.4967, 0.3509
    0.0172,   0.1600, -0.307, 0.131056, 0.010064, 0.000703,-0.061060,-0.030357, 0.8229, 0.9523, 0.4967, 0.3509
    0.0515,   0.1600, -0.310, 0.130644, 0.010064, 0.000707,-0.060930,-0.030334, 0.8229, 0.9522, 0.4974, 0.2870
    0.0855,   0.1600, -0.316, 0.129808, 0.010063, 0.000716,-0.060663,-0.030287, 0.8231, 0.9520, 0.4988, 0.2305
    0.1189,   0.1600, -0.325, 0.128530, 0.010063, 0.000729,-0.060252,-0.030212, 0.8233, 0.9517, 0.5010, 0.1813
    0.1515,   0.1600, -0.337, 0.126780, 0.010061, 0.000745,-0.059682,-0.030103, 0.8236, 0.9514, 0.5040, 0.1394
    0.1830,   0.1600, -0.353, 0.124520, 0.010060, 0.000766,-0.058933,-0.029949, 0.8239, 0.9509, 0.5079, 0.1044
    0.2133,   0.1600, -0.372, 0.121699, 0.010058, 0.000790,-0.057976,-0.029737, 0.8244, 0.9503, 0.5129, 0.0759
    0.2421,   0.1600, -0.396, 0.118254, 0.010055, 0.000817,-0.056774,-0.029445, 0.8250, 0.9496, 0.5191, 0.0533
    0.2693,   0.1600, -0.425, 0.114110, 0.010050, 0.000846,-0.055273,-0.029042, 0.8258, 0.9483, 0.5266, 0.0360
    0.2946,   0.1600, -0.459, 0.109180, 0.010043, 0.000874,-0.053404,-0.028483, 0.8268, 0.9467, 0.5356, 0.0232
    0.3179,   0.1600, -0.499, 0.103359, 0.010035, 0.000899,-0.051080,-0.027709, 0.8280, 0.9448, 0.5463, 0.0141
    0.3391,   0.1600, -0.544, 0.096536, 0.010025, 0.000916,-0.048197,-0.026645, 0.8294, 0.9426, 0.5590, 0.0080
    0.3579,   0.1600, -0.594, 0.088598, 0.010014, 0.000918,-0.044652,-0.025211, 0.8310, 0.9400, 0.5742, 0.0041
    0.3743,   0.1600, -0.646, 0.079453, 0.009999, 0.000896,-0.040374,-0.023341, 0.8328, 0.9369, 0.5926, 0.0019
    0.3881,   0.1600, -0.699, 0.069051, 0.009971, 0.000843,-0.035404,-0.021033, 0.8352, 0.9325, 0.6158, 0.0007
    0.3993,   0.1600, -0.748, 0.057426, 0.009940, 0.000750,-0.030065,-0.018438, 0.8378, 0.9276, 0.6462, 0.0002
    0.4078,   0.1600, -0.789, 0.044725, 0.009905, 0.000616,-0.025395,-0.016081, 0.8408, 0.9214, 0.6811, 0.0000
    0.4134,   0.1600, -0.821, 0.031281, 0.009867, 0.000448,-0.024311,-0.015359, 0.8442, 0.9140, 0.6778, 0.0000
    0.4163,   0.1600, -0.844, 0.018224, 0.009830, 0.000269,-0.022088,-0.013160, 0.8474, 0.9068, 0.6170, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,      0.0827
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,      0.0594
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,      0.0204
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0142
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0433
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0643
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0772
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0870
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1002
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.1233
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1649
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.2261
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,     -0.0543
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.5421
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.0880
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.1974
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2008
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.1857
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1694
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1462
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1128
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.0743
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.0336
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.0010
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,      0.0199
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,      0.0409
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.1346
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.1036
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,      0.0514
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,      0.0021
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0383
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0668
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0838
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0963
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.1128
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1423
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.1953
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.2582
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,     -0.1341
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.6815
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.0527
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.2190
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2312
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2152
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.1953
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1642
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1194
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.0701
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0204
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,      0.0258
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,      0.0721
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,      0.1041
Strip 3
