xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,  11.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.934747
Cy    = ,   0.000000
Cd=,   0.073091,ICd=,    0.052784,PCd=,    0.020306
Cl   = ,7.81357e-16
Cm   =,   -0.250496
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.041298, YCP=,   -0.000000, ZCP=,    0.005299 
XNP=,    0.000000
Bending =,    2.816997

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -6.199, 0.139303, 0.010070, 0.015130,-0.094712,-0.025197, 0.8215, 0.9540, 0.3403, 0.0000
   -0.4134,   0.1600, -5.880, 0.239037, 0.010038, 0.024617,-0.098998,-0.018045, 0.8033, 0.9732, 0.3036, 0.0000
   -0.4078,   0.1600, -5.591, 0.342257, 0.009832, 0.033505,-0.087810, 0.005154, 0.7812, 0.9911, 0.2321, 0.0003
   -0.3993,   0.1600, -5.321, 0.441175, 0.009629, 0.041093,-0.101989, 0.010847, 0.7460, 0.9999, 0.2214, 0.0017
   -0.3881,   0.1600, -5.050, 0.533716, 0.009625, 0.047161,-0.124770, 0.009947, 0.6991, 1.0000, 0.2270, 0.0056
   -0.3743,   0.1600, -4.775, 0.618767, 0.009813, 0.051693,-0.149594, 0.006595, 0.6492, 1.0000, 0.2350, 0.0145
   -0.3579,   0.1600, -4.502, 0.695714, 0.010127, 0.054778,-0.173722, 0.002504, 0.5931, 1.0000, 0.2422, 0.0317
   -0.3391,   0.1600, -4.234, 0.764321, 0.010584, 0.056583,-0.195940,-0.001560, 0.5235, 1.0000, 0.2478, 0.0616
   -0.3179,   0.1600, -3.977, 0.824666, 0.011482, 0.057329,-0.215752,-0.005253, 0.4209, 1.0000, 0.2521, 0.1094
   -0.2946,   0.1600, -3.736, 0.877071, 0.013069, 0.057265,-0.233027,-0.008435, 0.2921, 1.0000, 0.2553, 0.1808
   -0.2693,   0.1600, -3.515, 0.922022, 0.014807, 0.056636,-0.247806,-0.011085, 0.1935, 1.0000, 0.2577, 0.2821
   -0.2421,   0.1600, -3.318, 0.960095, 0.017463, 0.055661,-0.260296,-0.013237, 0.0920, 1.0000, 0.2594, 0.4196
   -0.2133,   0.1600, -3.146, 0.991886, 0.020637, 0.054517,-0.270690,-0.014949, 0.0413, 1.0000, 0.2606, 0.5995
   -0.1830,   0.1600, -3.000, 1.017977, 0.023424, 0.053348,-0.279164,-0.016289, 0.0342, 1.0000, 0.2615, 0.8273
   -0.1515,   0.1600, -2.879, 1.038889, 0.025504, 0.052255,-0.285898,-0.017314, 0.0311, 1.0000, 0.2621, 1.1081
   -0.1189,   0.1600, -2.784, 1.055069, 0.027098, 0.051310,-0.291075,-0.018074, 0.0293, 1.0000, 0.2626, 1.4456
   -0.0855,   0.1600, -2.714, 1.066884, 0.028372, 0.050566,-0.294842,-0.018612, 0.0279, 1.0000, 0.2629, 1.8425
   -0.0515,   0.1600, -2.667, 1.074609, 0.029204, 0.050055,-0.297297,-0.018954, 0.0270, 1.0000, 0.2631, 2.2998
   -0.0172,   0.1600, -2.644, 1.078426, 0.029643, 0.049796,-0.298508,-0.019121, 0.0266, 1.0000, 0.2631, 2.8170
    0.0172,   0.1600, -2.644, 1.078426, 0.029643, 0.049796,-0.298508,-0.019121, 0.0266, 1.0000, 0.2631, 2.8170
    0.0515,   0.1600, -2.667, 1.074609, 0.029204, 0.050055,-0.297297,-0.018954, 0.0270, 1.0000, 0.2631, 2.2998
    0.0855,   0.1600, -2.714, 1.066884, 0.028372, 0.050566,-0.294842,-0.018612, 0.0279, 1.0000, 0.2629, 1.8425
    0.1189,   0.1600, -2.784, 1.055069, 0.027098, 0.051310,-0.291075,-0.018074, 0.0293, 1.0000, 0.2626, 1.4456
    0.1515,   0.1600, -2.879, 1.038889, 0.025504, 0.052255,-0.285898,-0.017314, 0.0311, 1.0000, 0.2621, 1.1081
    0.1830,   0.1600, -3.000, 1.017977, 0.023424, 0.053348,-0.279164,-0.016289, 0.0342, 1.0000, 0.2615, 0.8273
    0.2133,   0.1600, -3.146, 0.991886, 0.020637, 0.054517,-0.270690,-0.014949, 0.0413, 1.0000, 0.2606, 0.5995
    0.2421,   0.1600, -3.318, 0.960095, 0.017463, 0.055661,-0.260296,-0.013237, 0.0920, 1.0000, 0.2594, 0.4196
    0.2693,   0.1600, -3.515, 0.922022, 0.014807, 0.056636,-0.247806,-0.011085, 0.1935, 1.0000, 0.2577, 0.2821
    0.2946,   0.1600, -3.736, 0.877071, 0.013069, 0.057265,-0.233027,-0.008435, 0.2921, 1.0000, 0.2553, 0.1808
    0.3179,   0.1600, -3.977, 0.824666, 0.011482, 0.057329,-0.215752,-0.005253, 0.4209, 1.0000, 0.2521, 0.1094
    0.3391,   0.1600, -4.234, 0.764321, 0.010584, 0.056583,-0.195940,-0.001560, 0.5235, 1.0000, 0.2478, 0.0616
    0.3579,   0.1600, -4.502, 0.695714, 0.010127, 0.054778,-0.173722, 0.002504, 0.5931, 1.0000, 0.2422, 0.0317
    0.3743,   0.1600, -4.775, 0.618767, 0.009813, 0.051693,-0.149594, 0.006595, 0.6492, 1.0000, 0.2350, 0.0145
    0.3881,   0.1600, -5.050, 0.533716, 0.009625, 0.047161,-0.124770, 0.009947, 0.6991, 1.0000, 0.2270, 0.0056
    0.3993,   0.1600, -5.321, 0.441175, 0.009629, 0.041093,-0.101989, 0.010847, 0.7460, 0.9999, 0.2214, 0.0017
    0.4078,   0.1600, -5.591, 0.342257, 0.009832, 0.033505,-0.087810, 0.005154, 0.7812, 0.9911, 0.2321, 0.0003
    0.4134,   0.1600, -5.880, 0.239037, 0.010038, 0.024617,-0.098998,-0.018045, 0.8033, 0.9732, 0.3036, 0.0000
    0.4163,   0.1600, -6.199, 0.139303, 0.010070, 0.015130,-0.094712,-0.025197, 0.8215, 0.9540, 0.3403, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -2.4613
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -2.2335
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -1.4219
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.7434
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.4359
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.2986
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.2203
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1643
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.1167
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0654
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,      0.0130
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,      0.2023
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.7102
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,     -0.6701
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.7406
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.5571
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.4532
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.4052
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.3917
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.3985
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.4316
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.5335
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.8315
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -1.5888
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -2.5893
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -2.8854
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,     -1.1439
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -1.0677
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.7588
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.4822
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.3318
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.2436
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.1792
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.1252
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0746
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0167
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,      0.0779
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,      0.3269
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.8617
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,     -0.9421
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.8790
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.6560
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.5110
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.4297
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.3874
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.3628
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.3610
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.4156
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.5912
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.9605
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -1.3527
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -1.4457
Strip 3
