xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   2.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.296230
Cy    = ,   0.000000
Cd=,   0.015350,ICd=,    0.005306,PCd=,    0.010044
Cl   = ,1.20484e-16
Cm   =,  -0.0984271
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.052666, YCP=,   -0.000000, ZCP=,    0.010262 
XNP=,    0.000000
Bending =,    0.903392

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -2.023, 0.045359, 0.009907, 0.001602,-0.038234,-0.015762, 0.8407, 0.9218, 0.4243, 0.0000
   -0.4134,   0.1600, -1.934, 0.077841, 0.009995, 0.002629,-0.041026,-0.016026, 0.8332, 0.9362, 0.4085, 0.0000
   -0.4078,   0.1600, -1.846, 0.111403, 0.010046, 0.003590,-0.039423,-0.011522, 0.8263, 0.9474, 0.3507, 0.0001
   -0.3993,   0.1600, -1.754, 0.143424, 0.010073, 0.004392,-0.046223,-0.012140, 0.8208, 0.9549, 0.3364, 0.0005
   -0.3881,   0.1600, -1.656, 0.173179, 0.010094, 0.005006,-0.055453,-0.014394, 0.8158, 0.9611, 0.3350, 0.0018
   -0.3743,   0.1600, -1.554, 0.200304, 0.010084, 0.005434,-0.064849,-0.016963, 0.8110, 0.9663, 0.3361, 0.0047
   -0.3579,   0.1600, -1.452, 0.224637, 0.010057, 0.005696,-0.073549,-0.019350, 0.8062, 0.9707, 0.3368, 0.0103
   -0.3391,   0.1600, -1.354, 0.246163, 0.010028, 0.005820,-0.081247,-0.021388, 0.8019, 0.9745, 0.3369, 0.0200
   -0.3179,   0.1600, -1.262, 0.264972, 0.010003, 0.005839,-0.087887,-0.023052, 0.7981, 0.9778, 0.3365, 0.0354
   -0.2946,   0.1600, -1.178, 0.281224, 0.009968, 0.005784,-0.093517,-0.024375, 0.7945, 0.9806, 0.3358, 0.0585
   -0.2693,   0.1600, -1.103, 0.295116, 0.009937, 0.005683,-0.098234,-0.025410, 0.7915, 0.9830, 0.3349, 0.0911
   -0.2421,   0.1600, -1.037, 0.306857, 0.009911, 0.005557,-0.102145,-0.026211, 0.7889, 0.9850, 0.3339, 0.1354
   -0.2133,   0.1600, -0.981, 0.316648, 0.009889, 0.005421,-0.105351,-0.026826, 0.7868, 0.9867, 0.3330, 0.1932
   -0.1830,   0.1600, -0.933, 0.324680, 0.009871, 0.005290,-0.107944,-0.027295, 0.7850, 0.9881, 0.3322, 0.2664
   -0.1515,   0.1600, -0.895, 0.331116, 0.009857, 0.005172,-0.109996,-0.027647, 0.7836, 0.9892, 0.3316, 0.3564
   -0.1189,   0.1600, -0.864, 0.336097, 0.009846, 0.005071,-0.111569,-0.027906, 0.7825, 0.9901, 0.3310, 0.4646
   -0.0855,   0.1600, -0.842, 0.339734, 0.009837, 0.004993,-0.112709,-0.028086, 0.7817, 0.9907, 0.3306, 0.5916
   -0.0515,   0.1600, -0.827, 0.342113, 0.009832, 0.004940,-0.113451,-0.028201, 0.7812, 0.9911, 0.3303, 0.7380
   -0.0172,   0.1600, -0.820, 0.343288, 0.009830, 0.004912,-0.113816,-0.028256, 0.7809, 0.9913, 0.3302, 0.9034
    0.0172,   0.1600, -0.820, 0.343288, 0.009830, 0.004912,-0.113816,-0.028256, 0.7809, 0.9913, 0.3302, 0.9034
    0.0515,   0.1600, -0.827, 0.342113, 0.009832, 0.004940,-0.113451,-0.028201, 0.7812, 0.9911, 0.3303, 0.7380
    0.0855,   0.1600, -0.842, 0.339734, 0.009837, 0.004993,-0.112709,-0.028086, 0.7817, 0.9907, 0.3306, 0.5916
    0.1189,   0.1600, -0.864, 0.336097, 0.009846, 0.005071,-0.111569,-0.027906, 0.7825, 0.9901, 0.3310, 0.4646
    0.1515,   0.1600, -0.895, 0.331116, 0.009857, 0.005172,-0.109996,-0.027647, 0.7836, 0.9892, 0.3316, 0.3564
    0.1830,   0.1600, -0.933, 0.324680, 0.009871, 0.005290,-0.107944,-0.027295, 0.7850, 0.9881, 0.3322, 0.2664
    0.2133,   0.1600, -0.981, 0.316648, 0.009889, 0.005421,-0.105351,-0.026826, 0.7868, 0.9867, 0.3330, 0.1932
    0.2421,   0.1600, -1.037, 0.306857, 0.009911, 0.005557,-0.102145,-0.026211, 0.7889, 0.9850, 0.3339, 0.1354
    0.2693,   0.1600, -1.103, 0.295116, 0.009937, 0.005683,-0.098234,-0.025410, 0.7915, 0.9830, 0.3349, 0.0911
    0.2946,   0.1600, -1.178, 0.281224, 0.009968, 0.005784,-0.093517,-0.024375, 0.7945, 0.9806, 0.3358, 0.0585
    0.3179,   0.1600, -1.262, 0.264972, 0.010003, 0.005839,-0.087887,-0.023052, 0.7981, 0.9778, 0.3365, 0.0354
    0.3391,   0.1600, -1.354, 0.246163, 0.010028, 0.005820,-0.081247,-0.021388, 0.8019, 0.9745, 0.3369, 0.0200
    0.3579,   0.1600, -1.452, 0.224637, 0.010057, 0.005696,-0.073549,-0.019350, 0.8062, 0.9707, 0.3368, 0.0103
    0.3743,   0.1600, -1.554, 0.200304, 0.010084, 0.005434,-0.064849,-0.016963, 0.8110, 0.9663, 0.3361, 0.0047
    0.3881,   0.1600, -1.656, 0.173179, 0.010094, 0.005006,-0.055453,-0.014394, 0.8158, 0.9611, 0.3350, 0.0018
    0.3993,   0.1600, -1.754, 0.143424, 0.010073, 0.004392,-0.046223,-0.012140, 0.8208, 0.9549, 0.3364, 0.0005
    0.4078,   0.1600, -1.846, 0.111403, 0.010046, 0.003590,-0.039423,-0.011522, 0.8263, 0.9474, 0.3507, 0.0001
    0.4134,   0.1600, -1.934, 0.077841, 0.009995, 0.002629,-0.041026,-0.016026, 0.8332, 0.9362, 0.4085, 0.0000
    0.4163,   0.1600, -2.023, 0.045359, 0.009907, 0.001602,-0.038234,-0.015762, 0.8407, 0.9218, 0.4243, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.1187
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.1213
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.0959
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0724
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0716
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0768
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0791
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0801
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0837
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0935
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1100
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.1087
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.1967
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.3670
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.2083
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.2626
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2417
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.2165
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.1968
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1743
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1454
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.1182
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.1072
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.1479
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.2250
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.2324
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.0381
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,      0.0171
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.0073
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0335
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0590
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0759
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0827
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0854
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0905
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.1032
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.1239
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.1060
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.2085
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.4613
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.2101
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.3051
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2835
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2510
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2227
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1879
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1441
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.1030
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0752
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.0708
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.0670
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.0458
Strip 3
