xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   3.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.332509
Cy    = ,   0.000000
Cd=,   0.016654,ICd=,    0.006683,PCd=,    0.009971
Cl   = ,1.61112e-16
Cm   =,    -0.10711
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.050990, YCP=,   -0.000000, ZCP=,    0.009429 
XNP=,    0.000000
Bending =,    1.013369

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -2.258, 0.050759, 0.009923, 0.002002,-0.041456,-0.016286, 0.8393, 0.9247, 0.4107, 0.0000
   -0.4134,   0.1600, -2.157, 0.087107, 0.010012, 0.003280,-0.044354,-0.016155, 0.8313, 0.9395, 0.3914, 0.0000
   -0.4078,   0.1600, -2.057, 0.124674, 0.010060, 0.004477,-0.042213,-0.010602, 0.8239, 0.9509, 0.3311, 0.0001
   -0.3993,   0.1600, -1.955, 0.160540, 0.010085, 0.005479,-0.049437,-0.010869, 0.8179, 0.9584, 0.3175, 0.0006
   -0.3881,   0.1600, -1.847, 0.193904, 0.010087, 0.006252,-0.059442,-0.013053, 0.8121, 0.9651, 0.3175, 0.0020
   -0.3743,   0.1600, -1.735, 0.224357, 0.010057, 0.006797,-0.069720,-0.015672, 0.8062, 0.9706, 0.3198, 0.0053
   -0.3579,   0.1600, -1.624, 0.251713, 0.010021, 0.007136,-0.079301,-0.018160, 0.8007, 0.9755, 0.3216, 0.0115
   -0.3391,   0.1600, -1.516, 0.275944, 0.009980, 0.007304,-0.087828,-0.020317, 0.7957, 0.9797, 0.3227, 0.0224
   -0.3179,   0.1600, -1.415, 0.297139, 0.009932, 0.007339,-0.095217,-0.022100, 0.7910, 0.9834, 0.3230, 0.0397
   -0.2946,   0.1600, -1.322, 0.315468, 0.009892, 0.007280,-0.101507,-0.023532, 0.7870, 0.9865, 0.3229, 0.0655
   -0.2693,   0.1600, -1.239, 0.331144, 0.009857, 0.007160,-0.106792,-0.024661, 0.7836, 0.9892, 0.3225, 0.1021
   -0.2421,   0.1600, -1.165, 0.344397, 0.009827, 0.007006,-0.111184,-0.025541, 0.7807, 0.9915, 0.3220, 0.1517
   -0.2133,   0.1600, -1.102, 0.355452, 0.009803, 0.006840,-0.114791,-0.026220, 0.7778, 0.9931, 0.3215, 0.2166
   -0.1830,   0.1600, -1.049, 0.364521, 0.009784, 0.006678,-0.117710,-0.026740, 0.7749, 0.9941, 0.3209, 0.2986
   -0.1515,   0.1600, -1.006, 0.371788, 0.009769, 0.006530,-0.120022,-0.027132, 0.7726, 0.9949, 0.3205, 0.3996
   -0.1189,   0.1600, -0.972, 0.377412, 0.009756, 0.006404,-0.121796,-0.027420, 0.7707, 0.9955, 0.3201, 0.5209
   -0.0855,   0.1600, -0.947, 0.381519, 0.009746, 0.006307,-0.123082,-0.027621, 0.7692, 0.9959, 0.3198, 0.6635
   -0.0515,   0.1600, -0.930, 0.384205, 0.009739, 0.006240,-0.123918,-0.027749, 0.7682, 0.9961, 0.3196, 0.8277
   -0.0172,   0.1600, -0.922, 0.385532, 0.009735, 0.006206,-0.124330,-0.027811, 0.7677, 0.9962, 0.3195, 1.0134
    0.0172,   0.1600, -0.922, 0.385532, 0.009735, 0.006206,-0.124330,-0.027811, 0.7677, 0.9962, 0.3195, 1.0134
    0.0515,   0.1600, -0.930, 0.384205, 0.009739, 0.006240,-0.123918,-0.027749, 0.7682, 0.9961, 0.3196, 0.8277
    0.0855,   0.1600, -0.947, 0.381519, 0.009746, 0.006307,-0.123082,-0.027621, 0.7692, 0.9959, 0.3198, 0.6635
    0.1189,   0.1600, -0.972, 0.377412, 0.009756, 0.006404,-0.121796,-0.027420, 0.7707, 0.9955, 0.3201, 0.5209
    0.1515,   0.1600, -1.006, 0.371788, 0.009769, 0.006530,-0.120022,-0.027132, 0.7726, 0.9949, 0.3205, 0.3996
    0.1830,   0.1600, -1.049, 0.364521, 0.009784, 0.006678,-0.117710,-0.026740, 0.7749, 0.9941, 0.3209, 0.2986
    0.2133,   0.1600, -1.102, 0.355452, 0.009803, 0.006840,-0.114791,-0.026220, 0.7778, 0.9931, 0.3215, 0.2166
    0.2421,   0.1600, -1.165, 0.344397, 0.009827, 0.007006,-0.111184,-0.025541, 0.7807, 0.9915, 0.3220, 0.1517
    0.2693,   0.1600, -1.239, 0.331144, 0.009857, 0.007160,-0.106792,-0.024661, 0.7836, 0.9892, 0.3225, 0.1021
    0.2946,   0.1600, -1.322, 0.315468, 0.009892, 0.007280,-0.101507,-0.023532, 0.7870, 0.9865, 0.3229, 0.0655
    0.3179,   0.1600, -1.415, 0.297139, 0.009932, 0.007339,-0.095217,-0.022100, 0.7910, 0.9834, 0.3230, 0.0397
    0.3391,   0.1600, -1.516, 0.275944, 0.009980, 0.007304,-0.087828,-0.020317, 0.7957, 0.9797, 0.3227, 0.0224
    0.3579,   0.1600, -1.624, 0.251713, 0.010021, 0.007136,-0.079301,-0.018160, 0.8007, 0.9755, 0.3216, 0.0115
    0.3743,   0.1600, -1.735, 0.224357, 0.010057, 0.006797,-0.069720,-0.015672, 0.8062, 0.9706, 0.3198, 0.0053
    0.3881,   0.1600, -1.847, 0.193904, 0.010087, 0.006252,-0.059442,-0.013053, 0.8121, 0.9651, 0.3175, 0.0020
    0.3993,   0.1600, -1.955, 0.160540, 0.010085, 0.005479,-0.049437,-0.010869, 0.8179, 0.9584, 0.3175, 0.0006
    0.4078,   0.1600, -2.057, 0.124674, 0.010060, 0.004477,-0.042213,-0.010602, 0.8239, 0.9509, 0.3311, 0.0001
    0.4134,   0.1600, -2.157, 0.087107, 0.010012, 0.003280,-0.044354,-0.016155, 0.8313, 0.9395, 0.3914, 0.0000
    0.4163,   0.1600, -2.258, 0.050759, 0.009923, 0.002002,-0.041456,-0.016286, 0.8393, 0.9247, 0.4107, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.1829
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.1790
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.1325
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.0909
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.0812
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.0819
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0815
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0803
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0818
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0886
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.1001
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.0867
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.2415
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.3258
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.2340
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.2765
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2509
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.2239
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.2038
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.1818
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1545
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.1308
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.1288
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.1908
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.2960
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.3118
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,      0.0065
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -0.0116
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.0270
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.0453
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.0661
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.0797
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0840
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0843
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0869
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0961
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.1104
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,     -0.0771
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.2689
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.4080
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.2432
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.3231
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.2946
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2589
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2292
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.1939
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1509
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.1125
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.0908
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.0982
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.1064
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.0885
Strip 3
