xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   5.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.476966
Cy    = ,   0.000000
Cd=,   0.023550,ICd=,    0.013742,PCd=,    0.009808
Cl   = , 3.0516e-16
Cm   =,   -0.141642
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.046769, YCP=,   -0.000000, ZCP=,    0.007404 
XNP=,    0.000000
Bending =,    1.450388

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -3.197, 0.072217, 0.009980, 0.004033,-0.054286,-0.018390, 0.8345, 0.9338, 0.3771, 0.0000
   -0.4134,   0.1600, -3.043, 0.123927, 0.010059, 0.006588,-0.057584,-0.016651, 0.8240, 0.9508, 0.3496, 0.0000
   -0.4078,   0.1600, -2.898, 0.177404, 0.010094, 0.008980,-0.053289,-0.006901, 0.8151, 0.9619, 0.2839, 0.0002
   -0.3993,   0.1600, -2.756, 0.228549, 0.010052, 0.011001,-0.062198,-0.005762, 0.8054, 0.9714, 0.2719, 0.0009
   -0.3881,   0.1600, -2.608, 0.276252, 0.009979, 0.012585,-0.075287,-0.007657, 0.7956, 0.9798, 0.2748, 0.0029
   -0.3743,   0.1600, -2.458, 0.319934, 0.009882, 0.013734,-0.089074,-0.010470, 0.7861, 0.9873, 0.2799, 0.0075
   -0.3579,   0.1600, -2.308, 0.359304, 0.009795, 0.014481,-0.102161,-0.013358, 0.7766, 0.9936, 0.2844, 0.0164
   -0.3391,   0.1600, -2.162, 0.394284, 0.009713, 0.014885,-0.113984,-0.015986, 0.7646, 0.9970, 0.2876, 0.0319
   -0.3179,   0.1600, -2.023, 0.424962, 0.009656, 0.015014,-0.124356,-0.018238, 0.7525, 0.9990, 0.2898, 0.0566
   -0.2946,   0.1600, -1.895, 0.451544, 0.009620, 0.014942,-0.133273,-0.020099, 0.7410, 1.0000, 0.2913, 0.0935
   -0.2693,   0.1600, -1.779, 0.474310, 0.009606, 0.014733,-0.140824,-0.021601, 0.7298, 1.0000, 0.2922, 0.1457
   -0.2421,   0.1600, -1.677, 0.493574, 0.009601, 0.014446,-0.147133,-0.022793, 0.7202, 1.0000, 0.2928, 0.2166
   -0.2133,   0.1600, -1.588, 0.509651, 0.009609, 0.014125,-0.152335,-0.023725, 0.7118, 1.0000, 0.2931, 0.3093
   -0.1830,   0.1600, -1.512, 0.522843, 0.009616, 0.013805,-0.156557,-0.024447, 0.7049, 1.0000, 0.2932, 0.4267
   -0.1515,   0.1600, -1.451, 0.533415, 0.009624, 0.013510,-0.159908,-0.024994, 0.6992, 1.0000, 0.2933, 0.5713
   -0.1189,   0.1600, -1.402, 0.541595, 0.009638, 0.013258,-0.162481,-0.025398, 0.6946, 1.0000, 0.2933, 0.7450
   -0.0855,   0.1600, -1.366, 0.547569, 0.009648, 0.013060,-0.164348,-0.025682, 0.6912, 1.0000, 0.2932, 0.9492
   -0.0515,   0.1600, -1.343, 0.551475, 0.009654, 0.012925,-0.165563,-0.025863, 0.6890, 1.0000, 0.2932, 1.1844
   -0.0172,   0.1600, -1.331, 0.553405, 0.009658, 0.012856,-0.166162,-0.025950, 0.6880, 1.0000, 0.2932, 1.4504
    0.0172,   0.1600, -1.331, 0.553405, 0.009658, 0.012856,-0.166162,-0.025950, 0.6880, 1.0000, 0.2932, 1.4504
    0.0515,   0.1600, -1.343, 0.551475, 0.009654, 0.012925,-0.165563,-0.025863, 0.6890, 1.0000, 0.2932, 1.1844
    0.0855,   0.1600, -1.366, 0.547569, 0.009648, 0.013060,-0.164348,-0.025682, 0.6912, 1.0000, 0.2932, 0.9492
    0.1189,   0.1600, -1.402, 0.541595, 0.009638, 0.013258,-0.162481,-0.025398, 0.6946, 1.0000, 0.2933, 0.7450
    0.1515,   0.1600, -1.451, 0.533415, 0.009624, 0.013510,-0.159908,-0.024994, 0.6992, 1.0000, 0.2933, 0.5713
    0.1830,   0.1600, -1.512, 0.522843, 0.009616, 0.013805,-0.156557,-0.024447, 0.7049, 1.0000, 0.2932, 0.4267
    0.2133,   0.1600, -1.588, 0.509651, 0.009609, 0.014125,-0.152335,-0.023725, 0.7118, 1.0000, 0.2931, 0.3093
    0.2421,   0.1600, -1.677, 0.493574, 0.009601, 0.014446,-0.147133,-0.022793, 0.7202, 1.0000, 0.2928, 0.2166
    0.2693,   0.1600, -1.779, 0.474310, 0.009606, 0.014733,-0.140824,-0.021601, 0.7298, 1.0000, 0.2922, 0.1457
    0.2946,   0.1600, -1.895, 0.451544, 0.009620, 0.014942,-0.133273,-0.020099, 0.7410, 1.0000, 0.2913, 0.0935
    0.3179,   0.1600, -2.023, 0.424962, 0.009656, 0.015014,-0.124356,-0.018238, 0.7525, 0.9990, 0.2898, 0.0566
    0.3391,   0.1600, -2.162, 0.394284, 0.009713, 0.014885,-0.113984,-0.015986, 0.7646, 0.9970, 0.2876, 0.0319
    0.3579,   0.1600, -2.308, 0.359304, 0.009795, 0.014481,-0.102161,-0.013358, 0.7766, 0.9936, 0.2844, 0.0164
    0.3743,   0.1600, -2.458, 0.319934, 0.009882, 0.013734,-0.089074,-0.010470, 0.7861, 0.9873, 0.2799, 0.0075
    0.3881,   0.1600, -2.608, 0.276252, 0.009979, 0.012585,-0.075287,-0.007657, 0.7956, 0.9798, 0.2748, 0.0029
    0.3993,   0.1600, -2.756, 0.228549, 0.010052, 0.011001,-0.062198,-0.005762, 0.8054, 0.9714, 0.2719, 0.0009
    0.4078,   0.1600, -2.898, 0.177404, 0.010094, 0.008980,-0.053289,-0.006901, 0.8151, 0.9619, 0.2839, 0.0002
    0.4134,   0.1600, -3.043, 0.123927, 0.010059, 0.006588,-0.057584,-0.016651, 0.8240, 0.9508, 0.3496, 0.0000
    0.4163,   0.1600, -3.197, 0.072217, 0.009980, 0.004033,-0.054286,-0.018390, 0.8345, 0.9338, 0.3771, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -0.5187
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -0.4813
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.3235
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.1873
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.1321
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.1110
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.0975
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.0864
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0784
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0731
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.0638
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,     -0.0041
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.4018
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,      0.1411
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.3415
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.3354
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.2907
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.2571
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.2362
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.2177
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.1988
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.1938
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.2373
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.4069
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -0.6523
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -0.7109
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,     -0.1607
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -0.1643
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.1323
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.1084
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.1040
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.1015
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.0939
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0840
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0758
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0704
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.0588
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,      0.0332
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.4826
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,      0.1652
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.3810
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.3968
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.3410
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.2931
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.2584
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.2226
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.1845
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.1598
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.1692
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.2341
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.3027
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.3015
Strip 3
