xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   7.500000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.655547
Cy    = ,   0.000000
Cd=,   0.036211,ICd=,    0.025956,PCd=,    0.010255
Cl   = ,5.09214e-16
Cm   =,   -0.184185
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.043950, YCP=,   -0.000000, ZCP=,    0.006189 
XNP=,    0.000000
Bending =,    1.987680

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -4.361, 0.098596, 0.010028, 0.007519,-0.070123,-0.021023, 0.8289, 0.9432, 0.3563, 0.0000
   -0.4134,   0.1600, -4.143, 0.169189, 0.010091, 0.012256,-0.073859,-0.017229, 0.8165, 0.9603, 0.3239, 0.0000
   -0.4078,   0.1600, -3.942, 0.242225, 0.010033, 0.016692,-0.066883,-0.002253, 0.8026, 0.9738, 0.2550, 0.0002
   -0.3993,   0.1600, -3.750, 0.312154, 0.009899, 0.020461,-0.077862, 0.000648, 0.7878, 0.9860, 0.2439, 0.0012
   -0.3881,   0.1600, -3.555, 0.377485, 0.009756, 0.023450,-0.094750,-0.000874, 0.7706, 0.9955, 0.2483, 0.0039
   -0.3743,   0.1600, -3.356, 0.437431, 0.009635, 0.025652,-0.112861,-0.003911, 0.7475, 0.9997, 0.2551, 0.0102
   -0.3579,   0.1600, -3.158, 0.491573, 0.009600, 0.027122,-0.130273,-0.007281, 0.7212, 1.0000, 0.2611, 0.0224
   -0.3391,   0.1600, -2.965, 0.539771, 0.009635, 0.027954,-0.146165,-0.010480, 0.6956, 1.0000, 0.2657, 0.0436
   -0.3179,   0.1600, -2.780, 0.582111, 0.009713, 0.028266,-0.160222,-0.013304, 0.6714, 1.0000, 0.2691, 0.0773
   -0.2946,   0.1600, -2.608, 0.618843, 0.009813, 0.028187,-0.172387,-0.015688, 0.6491, 1.0000, 0.2715, 0.1278
   -0.2693,   0.1600, -2.451, 0.650329, 0.009927, 0.027840,-0.182738,-0.017645, 0.6274, 1.0000, 0.2732, 0.1994
   -0.2421,   0.1600, -2.312, 0.676985, 0.010038, 0.027333,-0.191420,-0.019217, 0.6077, 1.0000, 0.2744, 0.2965
   -0.2133,   0.1600, -2.191, 0.699239, 0.010144, 0.026751,-0.198596,-0.020459, 0.5903, 1.0000, 0.2752, 0.4234
   -0.1830,   0.1600, -2.088, 0.717500, 0.010245, 0.026162,-0.204431,-0.021425, 0.5742, 1.0000, 0.2758, 0.5842
   -0.1515,   0.1600, -2.004, 0.732136, 0.010337, 0.025616,-0.209068,-0.022162, 0.5597, 1.0000, 0.2762, 0.7823
   -0.1189,   0.1600, -1.937, 0.743461, 0.010408, 0.025146,-0.212631,-0.022707, 0.5486, 1.0000, 0.2764, 1.0204
   -0.0855,   0.1600, -1.888, 0.751730, 0.010459, 0.024777,-0.215218,-0.023092, 0.5404, 1.0000, 0.2766, 1.3004
   -0.0515,   0.1600, -1.855, 0.757137, 0.010511, 0.024524,-0.216903,-0.023337, 0.5333, 1.0000, 0.2767, 1.6229
   -0.0172,   0.1600, -1.839, 0.759809, 0.010539, 0.024395,-0.217734,-0.023456, 0.5297, 1.0000, 0.2767, 1.9877
    0.0172,   0.1600, -1.839, 0.759809, 0.010539, 0.024395,-0.217734,-0.023456, 0.5297, 1.0000, 0.2767, 1.9877
    0.0515,   0.1600, -1.855, 0.757137, 0.010511, 0.024524,-0.216903,-0.023337, 0.5333, 1.0000, 0.2767, 1.6229
    0.0855,   0.1600, -1.888, 0.751730, 0.010459, 0.024777,-0.215218,-0.023092, 0.5404, 1.0000, 0.2766, 1.3004
    0.1189,   0.1600, -1.937, 0.743461, 0.010408, 0.025146,-0.212631,-0.022707, 0.5486, 1.0000, 0.2764, 1.0204
    0.1515,   0.1600, -2.004, 0.732136, 0.010337, 0.025616,-0.209068,-0.022162, 0.5597, 1.0000, 0.2762, 0.7823
    0.1830,   0.1600, -2.088, 0.717500, 0.010245, 0.026162,-0.204431,-0.021425, 0.5742, 1.0000, 0.2758, 0.5842
    0.2133,   0.1600, -2.191, 0.699239, 0.010144, 0.026751,-0.198596,-0.020459, 0.5903, 1.0000, 0.2752, 0.4234
    0.2421,   0.1600, -2.312, 0.676985, 0.010038, 0.027333,-0.191420,-0.019217, 0.6077, 1.0000, 0.2744, 0.2965
    0.2693,   0.1600, -2.451, 0.650329, 0.009927, 0.027840,-0.182738,-0.017645, 0.6274, 1.0000, 0.2732, 0.1994
    0.2946,   0.1600, -2.608, 0.618843, 0.009813, 0.028187,-0.172387,-0.015688, 0.6491, 1.0000, 0.2715, 0.1278
    0.3179,   0.1600, -2.780, 0.582111, 0.009713, 0.028266,-0.160222,-0.013304, 0.6714, 1.0000, 0.2691, 0.0773
    0.3391,   0.1600, -2.965, 0.539771, 0.009635, 0.027954,-0.146165,-0.010480, 0.6956, 1.0000, 0.2657, 0.0436
    0.3579,   0.1600, -3.158, 0.491573, 0.009600, 0.027122,-0.130273,-0.007281, 0.7212, 1.0000, 0.2611, 0.0224
    0.3743,   0.1600, -3.356, 0.437431, 0.009635, 0.025652,-0.112861,-0.003911, 0.7475, 0.9997, 0.2551, 0.0102
    0.3881,   0.1600, -3.555, 0.377485, 0.009756, 0.023450,-0.094750,-0.000874, 0.7706, 0.9955, 0.2483, 0.0039
    0.3993,   0.1600, -3.750, 0.312154, 0.009899, 0.020461,-0.077862, 0.000648, 0.7878, 0.9860, 0.2439, 0.0012
    0.4078,   0.1600, -3.942, 0.242225, 0.010033, 0.016692,-0.066883,-0.002253, 0.8026, 0.9738, 0.2550, 0.0002
    0.4134,   0.1600, -4.143, 0.169189, 0.010091, 0.012256,-0.073859,-0.017229, 0.8165, 0.9603, 0.3239, 0.0000
    0.4163,   0.1600, -4.361, 0.098596, 0.010028, 0.007519,-0.070123,-0.021023, 0.8289, 0.9432, 0.3563, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -1.1140
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -1.0180
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.6608
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.3579
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.2243
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.1665
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.1320
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1060
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0843
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0624
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.0267
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,      0.0869
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.5595
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,     -0.1338
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.4866
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.4155
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.3475
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.3069
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.2871
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.2758
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.2726
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.3004
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.4229
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.7762
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -1.2586
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -1.3911
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,     -0.4605
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -0.4391
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.3225
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.2220
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.1730
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.1434
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.1171
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0922
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0690
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0442
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,     -0.0004
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,      0.1583
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.6863
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,     -0.2046
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.5641
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.4934
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.4031
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.3412
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.3020
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.2682
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.2405
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.2400
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.3017
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.4629
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.6332
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.6611
Strip 3
