xflr5 v6.61

Test
T1-21.0 m/s-Panel
QInf  =,   21.000000 ,m/s
Alpha = ,   8.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.690931
Cy    = ,   0.000000
Cd=,   0.039319,ICd=,    0.028834,PCd=,    0.010485
Cl   = , 5.5485e-16
Cm   =,   -0.192589
ICn=,   -0.000000,PCn=,   -0.000000
XCP=,    0.043537, YCP=,   -0.000000, ZCP=,    0.006029 
XNP=,    0.000000
Bending =,    2.093612

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
   -0.4163,   0.1600, -4.593, 0.103796, 0.010035, 0.008338,-0.073253,-0.021548, 0.8279, 0.9450, 0.3535, 0.0000
   -0.4134,   0.1600, -4.362, 0.178112, 0.010093, 0.013586,-0.077069,-0.017339, 0.8150, 0.9621, 0.3204, 0.0000
   -0.4078,   0.1600, -4.150, 0.255004, 0.010016, 0.018502,-0.069560,-0.001323, 0.8001, 0.9761, 0.2511, 0.0002
   -0.3993,   0.1600, -3.948, 0.328636, 0.009862, 0.022682,-0.080948, 0.001929, 0.7842, 0.9888, 0.2401, 0.0012
   -0.3881,   0.1600, -3.743, 0.397443, 0.009705, 0.026001,-0.098586, 0.000484, 0.7635, 0.9973, 0.2447, 0.0042
   -0.3743,   0.1600, -3.535, 0.460595, 0.009614, 0.028452,-0.117552,-0.002595, 0.7365, 1.0000, 0.2517, 0.0108
   -0.3579,   0.1600, -3.327, 0.517650, 0.009613, 0.030094,-0.135818,-0.006059, 0.7076, 1.0000, 0.2579, 0.0236
   -0.3391,   0.1600, -3.124, 0.568455, 0.009683, 0.031029,-0.152514,-0.009370, 0.6795, 1.0000, 0.2626, 0.0459
   -0.3179,   0.1600, -2.931, 0.613094, 0.009798, 0.031386,-0.167301,-0.012306, 0.6526, 1.0000, 0.2662, 0.0814
   -0.2946,   0.1600, -2.750, 0.651827, 0.009932, 0.031307,-0.180108,-0.014793, 0.6263, 1.0000, 0.2688, 0.1346
   -0.2693,   0.1600, -2.585, 0.685033, 0.010076, 0.030929,-0.191014,-0.016839, 0.6014, 1.0000, 0.2706, 0.2099
   -0.2421,   0.1600, -2.439, 0.713147, 0.010218, 0.030371,-0.200165,-0.018485, 0.5784, 1.0000, 0.2719, 0.3122
   -0.2133,   0.1600, -2.311, 0.736619, 0.010365, 0.029728,-0.207733,-0.019787, 0.5553, 1.0000, 0.2728, 0.4459
   -0.1830,   0.1600, -2.203, 0.755880, 0.010499, 0.029076,-0.213888,-0.020802, 0.5350, 1.0000, 0.2734, 0.6153
   -0.1515,   0.1600, -2.114, 0.771317, 0.010655, 0.028472,-0.218781,-0.021576, 0.5140, 1.0000, 0.2738, 0.8239
   -0.1189,   0.1600, -2.044, 0.783262, 0.010777, 0.027950,-0.222542,-0.022149, 0.4977, 1.0000, 0.2741, 1.0748
   -0.0855,   0.1600, -1.992, 0.791984, 0.010865, 0.027541,-0.225272,-0.022553, 0.4859, 1.0000, 0.2743, 1.3696
   -0.0515,   0.1600, -1.957, 0.797688, 0.010943, 0.027260,-0.227052,-0.022811, 0.4766, 1.0000, 0.2744, 1.7094
   -0.0172,   0.1600, -1.940, 0.800505, 0.011000, 0.027117,-0.227929,-0.022936, 0.4708, 1.0000, 0.2744, 2.0936
    0.0172,   0.1600, -1.940, 0.800505, 0.011000, 0.027117,-0.227929,-0.022936, 0.4708, 1.0000, 0.2744, 2.0936
    0.0515,   0.1600, -1.957, 0.797688, 0.010943, 0.027260,-0.227052,-0.022811, 0.4766, 1.0000, 0.2744, 1.7094
    0.0855,   0.1600, -1.992, 0.791984, 0.010865, 0.027541,-0.225272,-0.022553, 0.4859, 1.0000, 0.2743, 1.3696
    0.1189,   0.1600, -2.044, 0.783262, 0.010777, 0.027950,-0.222542,-0.022149, 0.4977, 1.0000, 0.2741, 1.0748
    0.1515,   0.1600, -2.114, 0.771317, 0.010655, 0.028472,-0.218781,-0.021576, 0.5140, 1.0000, 0.2738, 0.8239
    0.1830,   0.1600, -2.203, 0.755880, 0.010499, 0.029076,-0.213888,-0.020802, 0.5350, 1.0000, 0.2734, 0.6153
    0.2133,   0.1600, -2.311, 0.736619, 0.010365, 0.029728,-0.207733,-0.019787, 0.5553, 1.0000, 0.2728, 0.4459
    0.2421,   0.1600, -2.439, 0.713147, 0.010218, 0.030371,-0.200165,-0.018485, 0.5784, 1.0000, 0.2719, 0.3122
    0.2693,   0.1600, -2.585, 0.685033, 0.010076, 0.030929,-0.191014,-0.016839, 0.6014, 1.0000, 0.2706, 0.2099
    0.2946,   0.1600, -2.750, 0.651827, 0.009932, 0.031307,-0.180108,-0.014793, 0.6263, 1.0000, 0.2688, 0.1346
    0.3179,   0.1600, -2.931, 0.613094, 0.009798, 0.031386,-0.167301,-0.012306, 0.6526, 1.0000, 0.2662, 0.0814
    0.3391,   0.1600, -3.124, 0.568455, 0.009683, 0.031029,-0.152514,-0.009370, 0.6795, 1.0000, 0.2626, 0.0459
    0.3579,   0.1600, -3.327, 0.517650, 0.009613, 0.030094,-0.135818,-0.006059, 0.7076, 1.0000, 0.2579, 0.0236
    0.3743,   0.1600, -3.535, 0.460595, 0.009614, 0.028452,-0.117552,-0.002595, 0.7365, 1.0000, 0.2517, 0.0108
    0.3881,   0.1600, -3.743, 0.397443, 0.009705, 0.026001,-0.098586, 0.000484, 0.7635, 0.9973, 0.2447, 0.0042
    0.3993,   0.1600, -3.948, 0.328636, 0.009862, 0.022682,-0.080948, 0.001929, 0.7842, 0.9888, 0.2401, 0.0012
    0.4078,   0.1600, -4.150, 0.255004, 0.010016, 0.018502,-0.069560,-0.001323, 0.8001, 0.9761, 0.2511, 0.0002
    0.4134,   0.1600, -4.362, 0.178112, 0.010093, 0.013586,-0.077069,-0.017339, 0.8150, 0.9621, 0.3204, 0.0000
    0.4163,   0.1600, -4.593, 0.103796, 0.010035, 0.008338,-0.073253,-0.021548, 0.8279, 0.9450, 0.3535, 0.0000


Main Wing Cp Coefficients
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp
Main WingCp Coefficients
Strip 1
  13,   1.588e-01,  -4.163e-01,   2.322e-04,       0.019,       0.000,      -1.000,   3.311e-06,     -1.2562
  14,   1.542e-01,  -4.163e-01,   3.273e-05,       0.052,       0.000,      -0.999,   9.752e-06,     -1.1462
  15,   1.453e-01,  -4.163e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   1.564e-05,     -0.7412
  16,   1.326e-01,  -4.163e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   2.062e-05,     -0.3986
  17,   1.169e-01,  -4.163e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   2.438e-05,     -0.2465
  18,   9.897e-02,  -4.163e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   2.670e-05,     -0.1801
  19,   7.997e-02,  -4.163e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   2.748e-05,     -0.1408
  20,   6.097e-02,  -4.163e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   2.667e-05,     -0.1114
  21,   4.307e-02,  -4.163e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   2.432e-05,     -0.0868
  22,   2.732e-02,  -4.163e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   2.058e-05,     -0.0614
  23,   1.462e-02,  -4.163e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   1.568e-05,     -0.0204
  24,   5.725e-03,  -4.163e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   1.000e-05,      0.1033
  25,   1.144e-03,  -4.163e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   4.054e-06,      0.5852
  26,   1.144e-03,  -4.163e-01,   1.487e-03,      -0.767,       0.000,       0.642,   5.156e-06,     -0.1944
  27,   5.725e-03,  -4.163e-01,   4.460e-03,      -0.421,       0.000,       0.907,   1.073e-05,     -0.5169
  28,   1.462e-02,  -4.163e-01,   7.393e-03,      -0.239,       0.000,       0.971,   1.607e-05,     -0.4324
  29,   2.732e-02,  -4.163e-01,   9.671e-03,      -0.128,       0.000,       0.992,   2.073e-05,     -0.3597
  30,   4.307e-02,  -4.163e-01,   1.103e-02,      -0.050,       0.000,       0.999,   2.435e-05,     -0.3180
  31,   6.097e-02,  -4.163e-01,   1.133e-02,       0.014,       0.000,       1.000,   2.667e-05,     -0.2987
  32,   7.997e-02,  -4.163e-01,   1.049e-02,       0.073,       0.000,       0.997,   2.754e-05,     -0.2892
  33,   9.897e-02,  -4.163e-01,   8.692e-03,       0.117,       0.000,       0.993,   2.685e-05,     -0.2898
  34,   1.169e-01,  -4.163e-01,   6.363e-03,       0.143,       0.000,       0.990,   2.457e-05,     -0.3254
  35,   1.326e-01,  -4.163e-01,   4.010e-03,       0.154,       0.000,       0.988,   2.080e-05,     -0.4665
  36,   1.453e-01,  -4.163e-01,   2.079e-03,       0.146,       0.000,       0.989,   1.577e-05,     -0.8630
  37,   1.542e-01,  -4.163e-01,   8.574e-04,       0.120,       0.000,       0.993,   9.810e-06,     -1.4010
  38,   1.588e-01,  -4.163e-01,   3.496e-04,       0.082,       0.000,       0.997,   3.322e-06,     -1.5510
Strip 2
  39,   1.588e-01,  -4.134e-01,   2.322e-04,       0.019,       0.000,      -1.000,   9.911e-06,     -0.5323
  40,   1.542e-01,  -4.134e-01,   3.273e-05,       0.052,       0.000,      -0.999,   2.919e-05,     -0.5051
  41,   1.453e-01,  -4.134e-01,  -5.423e-04,       0.072,       0.000,      -0.997,   4.682e-05,     -0.3682
  42,   1.326e-01,  -4.134e-01,  -1.498e-03,       0.077,       0.000,      -0.997,   6.172e-05,     -0.2493
  43,   1.169e-01,  -4.134e-01,  -2.661e-03,       0.071,       0.000,      -0.998,   7.297e-05,     -0.1896
  44,   9.897e-02,  -4.134e-01,  -3.769e-03,       0.054,       0.000,      -0.999,   7.993e-05,     -0.1537
  45,   7.997e-02,  -4.134e-01,  -4.587e-03,       0.033,       0.000,      -0.999,   8.225e-05,     -0.1232
  46,   6.097e-02,  -4.134e-01,  -5.007e-03,       0.011,       0.000,      -1.000,   7.982e-05,     -0.0950
  47,   4.307e-02,  -4.134e-01,  -5.009e-03,      -0.012,       0.000,      -1.000,   7.279e-05,     -0.0686
  48,   2.732e-02,  -4.134e-01,  -4.585e-03,      -0.044,       0.000,      -0.999,   6.159e-05,     -0.0398
  49,   1.462e-02,  -4.134e-01,  -3.703e-03,      -0.102,       0.000,      -0.995,   4.694e-05,      0.0104
  50,   5.725e-03,  -4.134e-01,  -2.343e-03,      -0.228,       0.000,      -0.974,   2.994e-05,      0.1816
  51,   1.144e-03,  -4.134e-01,  -7.216e-04,      -0.577,       0.000,      -0.817,   1.213e-05,      0.7184
  52,   1.144e-03,  -4.134e-01,   1.487e-03,      -0.767,       0.000,       0.642,   1.543e-05,     -0.2871
  53,   5.725e-03,  -4.134e-01,   4.460e-03,      -0.421,       0.000,       0.907,   3.213e-05,     -0.6021
  54,   1.462e-02,  -4.134e-01,   7.393e-03,      -0.239,       0.000,       0.971,   4.809e-05,     -0.5132
  55,   2.732e-02,  -4.134e-01,   9.671e-03,      -0.128,       0.000,       0.992,   6.204e-05,     -0.4160
  56,   4.307e-02,  -4.134e-01,   1.103e-02,      -0.050,       0.000,       0.999,   7.288e-05,     -0.3515
  57,   6.097e-02,  -4.134e-01,   1.133e-02,       0.014,       0.000,       1.000,   7.982e-05,     -0.3116
  58,   7.997e-02,  -4.134e-01,   1.049e-02,       0.073,       0.000,       0.997,   8.242e-05,     -0.2786
  59,   9.897e-02,  -4.134e-01,   8.692e-03,       0.117,       0.000,       0.993,   8.036e-05,     -0.2535
  60,   1.169e-01,  -4.134e-01,   6.363e-03,       0.143,       0.000,       0.990,   7.354e-05,     -0.2588
  61,   1.326e-01,  -4.134e-01,   4.010e-03,       0.154,       0.000,       0.988,   6.227e-05,     -0.3327
  62,   1.453e-01,  -4.134e-01,   2.079e-03,       0.146,       0.000,       0.989,   4.721e-05,     -0.5163
  63,   1.542e-01,  -4.134e-01,   8.574e-04,       0.120,       0.000,       0.993,   2.936e-05,     -0.7104
  64,   1.588e-01,  -4.134e-01,   3.496e-04,       0.082,       0.000,       0.997,   9.942e-06,     -0.7453
Strip 3
